idx,shard,onset,rngstate,gate_anchors,anchors,evals,witnesses_so_far
0,0,313358,4700473787566636120,35,638,21054,0
1,1,307906,4692330403214779697,29,622,20526,0
2,2,302092,694356338346996168,30,611,20163,0
3,3,291397,12567324566037349410,41,602,19866,0
4,4,286748,7781527330408340496,36,588,19404,0
5,5,285796,16489936061346709332,48,598,19734,2
6,6,276143,5512003509614796496,37,569,18777,2
7,7,272174,3981815637707193797,34,558,18414,2
8,8,271114,3955567068357606463,29,551,18183,2
9,9,270625,16992346564080444118,33,554,18282,2
10,10,270401,9220737208495014129,51,572,18876,2
11,11,268891,15693941383896591225,25,543,17919,2
12,12,267843,18287853548615453633,28,543,17919,2
13,13,267828,2592558225885312534,32,548,18084,2
14,14,266260,6676073668202534420,32,545,17985,2
15,15,265407,1785944205930647325,33,544,17952,2
16,16,265277,2581380668079156450,28,539,17787,2
17,17,260282,421234894265933870,28,529,17457,2
18,18,257885,2535352621422342788,33,529,17457,2
19,19,255436,9980582288230158201,28,520,17160,2
20,20,255171,7363838155587417590,39,530,17490,2
21,21,255129,3024456195432903186,40,531,17523,2
22,22,252072,15996951898054259342,30,514,16962,2
23,23,251853,13807782660207995538,31,516,17028,2
