idx,prev_attempt_id,next_attempt_id,gap_steps,prev_phase,next_phase,same_phase,prev_ok,next_ok,origin_l1,origin_linf,same_origin,heading_delta_mod4,critical_l1,same_critical_cell
2,2:15,2:16,1387,30,102,0,0,0,119,73,0,1,116,0
2,2:16,2:17,341,102,31,0,0,0,7,7,0,3,5,0
2,2:17,2:18,18134,31,0,0,0,0,136,103,0,2,127,0
2,2:18,2:19,22049,0,0,1,0,0,39,25,0,3,46,0
2,2:19,2:20,7780,0,0,1,0,0,96,68,0,0,89,0
2,2:20,2:21,1361,0,31,0,0,0,41,23,0,3,41,0
2,2:21,2:22,6897,31,24,0,0,0,61,40,0,1,58,0
2,2:22,2:23,6977,24,102,0,0,0,43,35,0,1,23,0
2,2:23,2:24,10871,102,25,0,0,0,63,56,0,1,74,0
2,2:24,2:25,29080,25,0,0,0,0,104,64,0,2,100,0
2,2:25,2:26,62053,0,103,0,0,0,189,126,0,1,203,0
2,2:26,2:27,13222,103,0,0,0,0,60,57,0,0,64,0
2,2:27,2:28,1315,0,24,0,0,0,65,65,0,1,67,0
2,2:28,2:29,194,24,98,0,0,1,6,3,0,2,,
3,3:0,3:1,895,102,25,0,0,0,23,13,0,1,32,0
3,3:1,3:2,418,25,31,0,0,0,10,9,0,0,8,0
3,3:2,3:3,5585,31,0,0,0,0,21,17,0,3,15,0
3,3:3,3:4,7245,0,0,1,0,0,31,26,0,1,30,0
3,3:4,3:5,140,0,0,1,0,0,4,2,0,0,3,0
3,3:5,3:6,10924,0,100,0,0,0,2,2,0,0,5,0
3,3:6,3:7,11649,100,30,0,0,0,25,20,0,3,28,0
3,3:7,3:8,9066,30,0,0,0,0,62,47,0,0,68,0
3,3:8,3:9,2835,0,0,1,0,0,53,44,0,3,55,0
3,3:9,3:10,12730,0,30,0,0,0,60,51,0,0,52,0
3,3:10,3:11,2008,30,0,0,0,0,20,16,0,2,23,0
3,3:11,3:12,675,0,103,0,0,0,3,2,0,3,3,0
3,3:12,3:13,18925,103,0,0,0,0,91,67,0,3,105,0
3,3:13,3:14,646,0,30,0,0,0,22,17,0,2,13,0
3,3:14,3:15,9390,30,103,0,0,0,136,81,0,2,129,0
3,3:15,3:16,4016,103,30,0,0,0,146,90,0,2,140,0
3,3:16,3:17,77,30,0,0,0,0,7,4,0,1,10,0
3,3:17,3:18,4030,0,98,0,0,0,4,3,0,2,4,0
3,3:18,3:19,8387,98,0,0,0,0,55,42,0,3,55,0
3,3:19,3:20,132,0,0,1,0,0,4,2,0,0,4,0
3,3:20,3:21,103,0,99,0,0,0,3,2,0,1,20,0
3,3:21,3:22,5600,99,31,0,0,0,100,84,0,0,106,0
3,3:22,3:23,15019,31,30,0,0,0,51,34,0,3,48,0
3,3:23,3:24,73,30,100,0,0,0,5,4,0,1,11,0
3,3:24,3:25,3252,100,24,0,0,0,10,6,0,0,0,1
3,3:25,3:26,13907,24,103,0,0,0,3,2,0,3,12,0
3,3:26,3:27,4795,103,21,0,0,0,81,68,0,3,83,0
3,3:27,3:28,44382,21,0,0,0,0,40,39,0,0,40,0
3,3:28,3:29,2632,0,31,0,0,0,20,10,0,0,24,0
3,3:29,3:30,19220,31,0,0,0,0,174,94,0,2,171,0
3,3:30,3:31,19745,0,24,0,0,0,111,79,0,3,115,0
3,3:31,3:32,5456,24,102,0,0,0,24,20,0,0,26,0
3,3:32,3:33,6297,102,0,0,0,0,41,35,0,1,46,0
3,3:33,3:34,107,0,0,1,0,0,5,4,0,3,6,0
3,3:34,3:35,15559,0,31,0,0,0,127,95,0,1,132,0
3,3:35,3:36,1141,31,0,0,0,0,19,15,0,3,20,0
3,3:36,3:37,143,0,99,0,0,0,3,2,0,1,4,0
3,3:37,3:38,169,99,100,0,0,0,5,3,0,3,5,0
3,3:38,3:39,17143,100,103,0,0,0,45,31,0,1,39,0
3,3:39,3:40,4232,103,25,0,0,1,26,18,0,0,,
4,4:0,4:1,107,0,0,1,0,0,5,4,0,3,11,0
4,4:1,4:2,23385,0,102,0,0,0,45,38,0,3,35,0
4,4:2,4:3,3373,102,0,0,0,0,21,20,0,1,27,0
4,4:3,4:4,14598,0,0,1,0,0,66,51,0,0,39,0
4,4:4,4:5,4274,0,103,0,0,0,88,81,0,2,90,0
4,4:5,4:6,693,103,31,0,0,0,7,5,0,1,5,0
4,4:6,4:7,217,31,0,0,0,0,1,1,0,1,3,0
4,4:7,4:8,886,0,30,0,0,0,22,17,0,0,24,0
4,4:8,4:9,4639,30,30,1,0,0,37,25,0,1,43,0
4,4:9,4:10,1887,30,24,0,0,0,53,39,0,1,45,0
4,4:10,4:11,281,24,0,0,0,0,19,10,0,3,24,0
4,4:11,4:12,164,0,100,0,0,0,2,2,0,0,3,0
4,4:12,4:13,2362,100,31,0,0,0,8,5,0,0,9,0
4,4:13,4:14,19936,31,0,0,0,0,34,18,0,0,35,0
4,4:14,4:15,15212,0,103,0,0,0,54,34,0,0,60,0
4,4:15,4:16,21665,103,102,0,0,0,155,79,0,1,154,0
4,4:16,4:17,15679,102,0,0,0,0,151,94,0,3,140,0
4,4:17,4:18,516,0,31,0,0,0,34,22,0,0,35,0
4,4:18,4:19,13021,31,30,0,0,0,29,19,0,3,26,0
4,4:19,4:20,1920,30,24,0,0,0,6,6,0,2,3,0
4,4:20,4:21,17566,24,0,0,0,0,108,77,0,2,116,0
4,4:21,4:22,147,0,99,0,0,0,3,2,0,1,3,0
4,4:22,4:23,7808,99,0,0,0,0,114,62,0,0,119,0
4,4:23,4:24,12488,0,103,0,0,0,40,28,0,2,47,0
4,4:24,4:25,32991,103,16,0,0,0,177,104,0,3,172,0
4,4:25,4:26,215,16,0,0,0,0,7,6,0,1,5,0
4,4:26,4:27,1354,0,0,1,0,0,112,67,0,0,116,0
4,4:27,4:28,8460,0,102,0,0,0,84,78,0,0,85,0
4,4:28,4:29,7662,102,25,0,0,0,98,53,0,2,100,0
4,4:29,4:30,201,25,30,0,0,0,5,3,0,3,1,0
4,4:30,4:31,6776,30,24,0,0,0,192,118,0,0,190,0
4,4:31,4:32,18850,24,24,1,0,0,130,69,0,2,134,0
4,4:32,4:33,19588,24,102,0,0,0,162,120,0,2,149,0
4,4:33,4:34,167,102,24,0,0,0,5,4,0,1,9,0
4,4:34,4:35,2079,24,0,0,0,1,71,67,0,3,,
5,5:0,5:1,5213,0,100,0,0,0,21,11,0,3,16,0
5,5:1,5:2,3040,100,103,0,0,0,62,42,0,2,53,0
5,5:2,5:3,319,103,30,0,0,0,21,18,0,1,26,0
5,5:3,5:4,4727,30,0,0,0,0,59,34,0,3,56,0
5,5:4,5:5,1134,0,0,1,0,0,32,29,0,0,29,0
5,5:5,5:6,6526,0,0,1,0,0,40,33,0,2,27,0
5,5:6,5:7,1287,0,0,1,0,0,39,28,0,3,34,0
5,5:7,5:8,2730,0,0,1,0,0,58,37,0,0,58,0
5,5:8,5:9,6991,0,0,1,0,0,57,44,0,3,58,0
5,5:9,5:10,1093,0,100,0,0,0,55,42,0,1,57,0
5,5:10,5:11,5840,100,31,0,0,0,14,10,0,0,18,0
5,5:11,5:12,11052,31,24,0,0,0,62,58,0,0,69,0
5,5:12,5:13,223,24,103,0,0,0,23,17,0,1,19,0
5,5:13,5:14,4311,103,103,1,0,0,13,9,0,1,24,0
5,5:14,5:15,110,103,0,0,0,0,8,7,0,0,7,0
5,5:15,5:16,224,0,0,1,0,0,4,2,0,0,3,0
5,5:16,5:17,339,0,99,0,0,0,3,2,0,1,69,0
5,5:17,5:18,12997,99,0,0,0,0,131,80,0,1,125,0
5,5:18,5:19,12684,0,0,1,0,0,128,100,0,2,120,0
