[shard 10] 0/70000000 seeds, 1 converged
[shard 10] 250000/70000000 seeds, 250001 converged
[shard 10] 252000/70000000 seeds, 252001 converged
[shard 10] 254000/70000000 seeds, 254001 converged
[shard 10] 256000/70000000 seeds, 256001 converged
[shard 10] 258000/70000000 seeds, 258001 converged
[shard 10] 260000/70000000 seeds, 260001 converged
[shard 10] 262000/70000000 seeds, 262001 converged
[shard 10] 264000/70000000 seeds, 264001 converged
[shard 10] 266000/70000000 seeds, 266001 converged
[shard 10] 268000/70000000 seeds, 268001 converged
[shard 10] 270000/70000000 seeds, 270001 converged
[shard 10] 272000/70000000 seeds, 272001 converged
[shard 10] 274000/70000000 seeds, 274001 converged
[shard 10] 276000/70000000 seeds, 276001 converged
[shard 10] 278000/70000000 seeds, 278001 converged
[shard 10] 280000/70000000 seeds, 280001 converged
[shard 10] 282000/70000000 seeds, 282001 converged
[shard 10] 284000/70000000 seeds, 284001 converged
[shard 10] 286000/70000000 seeds, 286001 converged
[shard 10] 288000/70000000 seeds, 288001 converged
[shard 10] 290000/70000000 seeds, 290001 converged
[shard 10] 292000/70000000 seeds, 292001 converged
[shard 10] 294000/70000000 seeds, 294001 converged
[shard 10] 296000/70000000 seeds, 296001 converged
[shard 10] 298000/70000000 seeds, 298001 converged
[shard 10] 300000/70000000 seeds, 300001 converged
[shard 10] 302000/70000000 seeds, 302001 converged
[shard 10] 304000/70000000 seeds, 304001 converged
[shard 10] 306000/70000000 seeds, 306001 converged
[shard 10] 308000/70000000 seeds, 308001 converged
[shard 10] 310000/70000000 seeds, 310001 converged
[shard 10] 312000/70000000 seeds, 312001 converged
[shard 10] 314000/70000000 seeds, 314001 converged
[shard 10] 316000/70000000 seeds, 316001 converged
[shard 10] 318000/70000000 seeds, 318001 converged
[shard 10] 320000/70000000 seeds, 320001 converged
[shard 10] 322000/70000000 seeds, 322001 converged
[shard 10] 324000/70000000 seeds, 324001 converged
[shard 10] 326000/70000000 seeds, 326001 converged
[shard 10] 328000/70000000 seeds, 328001 converged
[shard 10] 330000/70000000 seeds, 330001 converged
[shard 10] 332000/70000000 seeds, 332001 converged
[shard 10] 334000/70000000 seeds, 334001 converged
[shard 10] 336000/70000000 seeds, 336001 converged
[shard 10] 338000/70000000 seeds, 338001 converged
[shard 10] 340000/70000000 seeds, 340001 converged
[shard 10] 342000/70000000 seeds, 342001 converged
[shard 10] 344000/70000000 seeds, 344001 converged
[shard 10] 346000/70000000 seeds, 346001 converged
[shard 10] 348000/70000000 seeds, 348001 converged
[shard 10] 350000/70000000 seeds, 350001 converged
[shard 10] 352000/70000000 seeds, 352001 converged
[shard 10] 354000/70000000 seeds, 354001 converged
[shard 10] 356000/70000000 seeds, 356001 converged
[shard 10] 358000/70000000 seeds, 358001 converged
[shard 10] 360000/70000000 seeds, 360001 converged
[shard 10] 362000/70000000 seeds, 362001 converged
[shard 10] 364000/70000000 seeds, 364001 converged
[shard 10] 366000/70000000 seeds, 366001 converged
[shard 10] 368000/70000000 seeds, 368001 converged
[shard 10] 370000/70000000 seeds, 370001 converged
[shard 10] 372000/70000000 seeds, 372001 converged
[shard 10] 374000/70000000 seeds, 374001 converged
[shard 10] 376000/70000000 seeds, 376001 converged
[shard 10] 378000/70000000 seeds, 378001 converged
[shard 10] 380000/70000000 seeds, 380001 converged
[shard 10] 382000/70000000 seeds, 382001 converged
[shard 10] 384000/70000000 seeds, 384001 converged
[shard 10] 386000/70000000 seeds, 386001 converged
[shard 10] 388000/70000000 seeds, 388001 converged
[shard 10] 390000/70000000 seeds, 390001 converged
[shard 10] 392000/70000000 seeds, 392001 converged
[shard 10] 394000/70000000 seeds, 394001 converged
[shard 10] 396000/70000000 seeds, 396001 converged
[shard 10] 398000/70000000 seeds, 398001 converged
[shard 10] 400000/70000000 seeds, 400001 converged
[shard 10] 402000/70000000 seeds, 402001 converged
[shard 10] 404000/70000000 seeds, 404001 converged
[shard 10] 406000/70000000 seeds, 406001 converged
[shard 10] 408000/70000000 seeds, 408001 converged
[shard 10] 410000/70000000 seeds, 410001 converged
[shard 10] 412000/70000000 seeds, 412001 converged
[shard 10] 414000/70000000 seeds, 414001 converged
[shard 10] 416000/70000000 seeds, 416001 converged
[shard 10] 418000/70000000 seeds, 418001 converged
[shard 10] 420000/70000000 seeds, 420001 converged
[shard 10] 422000/70000000 seeds, 422001 converged
[shard 10] 424000/70000000 seeds, 424001 converged
[shard 10] 426000/70000000 seeds, 426001 converged
[shard 10] 428000/70000000 seeds, 428001 converged
[shard 10] 430000/70000000 seeds, 430001 converged
[shard 10] 432000/70000000 seeds, 432001 converged
[shard 10] 434000/70000000 seeds, 434001 converged
[shard 10] 436000/70000000 seeds, 436001 converged
[shard 10] 438000/70000000 seeds, 438001 converged
[shard 10] 440000/70000000 seeds, 440001 converged
[shard 10] 442000/70000000 seeds, 442001 converged
[shard 10] 444000/70000000 seeds, 444001 converged
[shard 10] 446000/70000000 seeds, 446001 converged
[shard 10] 448000/70000000 seeds, 448001 converged
[shard 10] 450000/70000000 seeds, 450001 converged
[shard 10] 452000/70000000 seeds, 452001 converged
[shard 10] 454000/70000000 seeds, 454001 converged
[shard 10] 456000/70000000 seeds, 456001 converged
[shard 10] 458000/70000000 seeds, 458001 converged
[shard 10] 460000/70000000 seeds, 460001 converged
[shard 10] 462000/70000000 seeds, 462001 converged
[shard 10] 464000/70000000 seeds, 464001 converged
[shard 10] 466000/70000000 seeds, 466001 converged
[shard 10] 468000/70000000 seeds, 468001 converged
[shard 10] 470000/70000000 seeds, 470001 converged
[shard 10] 472000/70000000 seeds, 472001 converged
[shard 10] 474000/70000000 seeds, 474001 converged
[shard 10] 476000/70000000 seeds, 476001 converged
[shard 10] 478000/70000000 seeds, 478001 converged
[shard 10] 480000/70000000 seeds, 480001 converged
[shard 10] 482000/70000000 seeds, 482001 converged
[shard 10] 484000/70000000 seeds, 484001 converged
[shard 10] 486000/70000000 seeds, 486001 converged
[shard 10] 488000/70000000 seeds, 488001 converged
[shard 10] 490000/70000000 seeds, 490001 converged
[shard 10] 492000/70000000 seeds, 492001 converged
[shard 10] 494000/70000000 seeds, 494001 converged
[shard 10] 496000/70000000 seeds, 496001 converged
[shard 10] 498000/70000000 seeds, 498001 converged
[shard 10] 500000/70000000 seeds, 500001 converged
[shard 10] 502000/70000000 seeds, 502001 converged
[shard 10] 504000/70000000 seeds, 504001 converged
[shard 10] 506000/70000000 seeds, 506001 converged
[shard 10] 508000/70000000 seeds, 508001 converged
[shard 10] 510000/70000000 seeds, 510001 converged
[shard 10] 512000/70000000 seeds, 512001 converged
[shard 10] 514000/70000000 seeds, 514001 converged
[shard 10] 516000/70000000 seeds, 516001 converged
[shard 10] 518000/70000000 seeds, 518001 converged
[shard 10] 520000/70000000 seeds, 520001 converged
[shard 10] 522000/70000000 seeds, 522001 converged
[shard 10] 524000/70000000 seeds, 524001 converged
[shard 10] 526000/70000000 seeds, 526001 converged
[shard 10] 528000/70000000 seeds, 528001 converged
[shard 10] 530000/70000000 seeds, 530001 converged
[shard 10] 532000/70000000 seeds, 532001 converged
[shard 10] 534000/70000000 seeds, 534001 converged
[shard 10] 536000/70000000 seeds, 536001 converged
[shard 10] 538000/70000000 seeds, 538001 converged
[shard 10] 540000/70000000 seeds, 540001 converged
[shard 10] 542000/70000000 seeds, 542001 converged
[shard 10] 544000/70000000 seeds, 544001 converged
[shard 10] 546000/70000000 seeds, 546001 converged
[shard 10] 548000/70000000 seeds, 548001 converged
[shard 10] 550000/70000000 seeds, 550001 converged
[shard 10] 552000/70000000 seeds, 552001 converged
[shard 10] 554000/70000000 seeds, 554001 converged
[shard 10] 556000/70000000 seeds, 556001 converged
[shard 10] 558000/70000000 seeds, 558001 converged
[shard 10] 560000/70000000 seeds, 560001 converged
[shard 10] 562000/70000000 seeds, 562001 converged
[shard 10] 564000/70000000 seeds, 564001 converged
[shard 10] 566000/70000000 seeds, 566001 converged
[shard 10] 568000/70000000 seeds, 568001 converged
[shard 10] 570000/70000000 seeds, 570001 converged
[shard 10] 572000/70000000 seeds, 572001 converged
[shard 10] 574000/70000000 seeds, 574001 converged
[shard 10] 576000/70000000 seeds, 576001 converged
[shard 10] 578000/70000000 seeds, 578001 converged
[shard 10] 580000/70000000 seeds, 580001 converged
[shard 10] 582000/70000000 seeds, 582001 converged
[shard 10] 584000/70000000 seeds, 584001 converged
[shard 10] 586000/70000000 seeds, 586001 converged
[shard 10] 588000/70000000 seeds, 588001 converged
[shard 10] 590000/70000000 seeds, 590001 converged
[shard 10] 592000/70000000 seeds, 592001 converged
[shard 10] 594000/70000000 seeds, 594001 converged
[shard 10] 596000/70000000 seeds, 596001 converged
[shard 10] 598000/70000000 seeds, 598001 converged
[shard 10] 600000/70000000 seeds, 600001 converged
[shard 10] 602000/70000000 seeds, 602001 converged
[shard 10] 604000/70000000 seeds, 604001 converged
[shard 10] 606000/70000000 seeds, 606001 converged
[shard 10] 608000/70000000 seeds, 608001 converged
[shard 10] 610000/70000000 seeds, 610001 converged
[shard 10] 612000/70000000 seeds, 612001 converged
[shard 10] 614000/70000000 seeds, 614001 converged
[shard 10] 616000/70000000 seeds, 616001 converged
[shard 10] 618000/70000000 seeds, 618001 converged
[shard 10] 620000/70000000 seeds, 620001 converged
[shard 10] 622000/70000000 seeds, 622001 converged
[shard 10] 624000/70000000 seeds, 624001 converged
[shard 10] 626000/70000000 seeds, 626001 converged
[shard 10] 628000/70000000 seeds, 628001 converged
[shard 10] 630000/70000000 seeds, 630001 converged
[shard 10] 632000/70000000 seeds, 632001 converged
[shard 10] 634000/70000000 seeds, 634001 converged
[shard 10] 636000/70000000 seeds, 636001 converged
[shard 10] 638000/70000000 seeds, 638001 converged
[shard 10] 640000/70000000 seeds, 640001 converged
[shard 10] 642000/70000000 seeds, 642001 converged
[shard 10] 644000/70000000 seeds, 644001 converged
[shard 10] 646000/70000000 seeds, 646001 converged
[shard 10] 648000/70000000 seeds, 648001 converged
[shard 10] 650000/70000000 seeds, 650001 converged
[shard 10] 652000/70000000 seeds, 652001 converged
[shard 10] 654000/70000000 seeds, 654001 converged
[shard 10] 656000/70000000 seeds, 656001 converged
[shard 10] 658000/70000000 seeds, 658001 converged
[shard 10] 660000/70000000 seeds, 660001 converged
[shard 10] 662000/70000000 seeds, 662001 converged
[shard 10] 664000/70000000 seeds, 664001 converged
[shard 10] 666000/70000000 seeds, 666001 converged
[shard 10] 668000/70000000 seeds, 668001 converged
[shard 10] 670000/70000000 seeds, 670001 converged
[shard 10] 672000/70000000 seeds, 672001 converged
[shard 10] 674000/70000000 seeds, 674001 converged
[shard 10] 676000/70000000 seeds, 676001 converged
[shard 10] 678000/70000000 seeds, 678001 converged
[shard 10] 680000/70000000 seeds, 680001 converged
[shard 10] 682000/70000000 seeds, 682001 converged
[shard 10] 684000/70000000 seeds, 684001 converged
[shard 10] 686000/70000000 seeds, 686001 converged
[shard 10] 688000/70000000 seeds, 688001 converged
[shard 10] 690000/70000000 seeds, 690001 converged
[shard 10] 692000/70000000 seeds, 692001 converged
[shard 10] 694000/70000000 seeds, 694001 converged
[shard 10] 696000/70000000 seeds, 696001 converged
[shard 10] 698000/70000000 seeds, 698001 converged
[shard 10] 700000/70000000 seeds, 700001 converged
[shard 10] 702000/70000000 seeds, 702001 converged
[shard 10] 704000/70000000 seeds, 704001 converged
[shard 10] 706000/70000000 seeds, 706001 converged
[shard 10] 708000/70000000 seeds, 708001 converged
[shard 10] 710000/70000000 seeds, 710001 converged
[shard 10] 712000/70000000 seeds, 712001 converged
[shard 10] 714000/70000000 seeds, 714001 converged
[shard 10] 716000/70000000 seeds, 716001 converged
[shard 10] 718000/70000000 seeds, 718001 converged
[shard 10] 720000/70000000 seeds, 720001 converged
[shard 10] 722000/70000000 seeds, 722001 converged
[shard 10] 724000/70000000 seeds, 724001 converged
[shard 10] 726000/70000000 seeds, 726001 converged
[shard 10] 728000/70000000 seeds, 728001 converged
[shard 10] 730000/70000000 seeds, 730001 converged
[shard 10] 732000/70000000 seeds, 732001 converged
[shard 10] 734000/70000000 seeds, 734001 converged
[shard 10] 736000/70000000 seeds, 736001 converged
[shard 10] 738000/70000000 seeds, 738001 converged
[shard 10] 740000/70000000 seeds, 740001 converged
[shard 10] 742000/70000000 seeds, 742001 converged
[shard 10] 744000/70000000 seeds, 744001 converged
[shard 10] 746000/70000000 seeds, 746001 converged
[shard 10] 748000/70000000 seeds, 748001 converged
[shard 10] 750000/70000000 seeds, 750001 converged
[shard 10] 752000/70000000 seeds, 752001 converged
[shard 10] 754000/70000000 seeds, 754001 converged
[shard 10] 756000/70000000 seeds, 756001 converged
[shard 10] 758000/70000000 seeds, 758001 converged
[shard 10] 760000/70000000 seeds, 760001 converged
[shard 10] 762000/70000000 seeds, 762001 converged
[shard 10] 764000/70000000 seeds, 764001 converged
[shard 10] 766000/70000000 seeds, 766001 converged
[shard 10] 768000/70000000 seeds, 768001 converged
[shard 10] 770000/70000000 seeds, 770001 converged
[shard 10] 772000/70000000 seeds, 772001 converged
[shard 10] 774000/70000000 seeds, 774001 converged
[shard 10] 776000/70000000 seeds, 776001 converged
[shard 10] 778000/70000000 seeds, 778001 converged
[shard 10] 780000/70000000 seeds, 780001 converged
[shard 10] 782000/70000000 seeds, 782001 converged
[shard 10] 784000/70000000 seeds, 784001 converged
[shard 10] 786000/70000000 seeds, 786001 converged
[shard 10] 788000/70000000 seeds, 788001 converged
[shard 10] 790000/70000000 seeds, 790001 converged
[shard 10] 792000/70000000 seeds, 792001 converged
[shard 10] 794000/70000000 seeds, 794001 converged
[shard 10] 796000/70000000 seeds, 796001 converged
[shard 10] 798000/70000000 seeds, 798001 converged
[shard 10] 800000/70000000 seeds, 800001 converged
[shard 10] 802000/70000000 seeds, 802001 converged
[shard 10] 804000/70000000 seeds, 804001 converged
[shard 10] 806000/70000000 seeds, 806001 converged
[shard 10] 808000/70000000 seeds, 808001 converged
[shard 10] 810000/70000000 seeds, 810001 converged
[shard 10] 812000/70000000 seeds, 812001 converged
[shard 10] 814000/70000000 seeds, 814001 converged
[shard 10] 816000/70000000 seeds, 816001 converged
[shard 10] 818000/70000000 seeds, 818001 converged
[shard 10] 820000/70000000 seeds, 820001 converged
[shard 10] 822000/70000000 seeds, 822001 converged
[shard 10] 824000/70000000 seeds, 824001 converged
[shard 10] 826000/70000000 seeds, 826001 converged
[shard 10] 828000/70000000 seeds, 828001 converged
[shard 10] 830000/70000000 seeds, 830001 converged
[shard 10] 832000/70000000 seeds, 832001 converged
[shard 10] 834000/70000000 seeds, 834001 converged
[shard 10] 836000/70000000 seeds, 836001 converged
[shard 10] 838000/70000000 seeds, 838001 converged
[shard 10] 840000/70000000 seeds, 840001 converged
[shard 10] 842000/70000000 seeds, 842001 converged
[shard 10] 844000/70000000 seeds, 844001 converged
[shard 10] 846000/70000000 seeds, 846001 converged
[shard 10] 848000/70000000 seeds, 848001 converged
[shard 10] 850000/70000000 seeds, 850001 converged
[shard 10] 852000/70000000 seeds, 852001 converged
[shard 10] 854000/70000000 seeds, 854001 converged
[shard 10] 856000/70000000 seeds, 856001 converged
[shard 10] 858000/70000000 seeds, 858001 converged
[shard 10] 860000/70000000 seeds, 860001 converged
[shard 10] 862000/70000000 seeds, 862001 converged
[shard 10] 864000/70000000 seeds, 864001 converged
[shard 10] 866000/70000000 seeds, 866001 converged
[shard 10] 868000/70000000 seeds, 868001 converged
[shard 10] 870000/70000000 seeds, 870001 converged
[shard 10] 872000/70000000 seeds, 872001 converged
[shard 10] 874000/70000000 seeds, 874001 converged
[shard 10] 876000/70000000 seeds, 876001 converged
[shard 10] 878000/70000000 seeds, 878001 converged
[shard 10] 880000/70000000 seeds, 880001 converged
[shard 10] 882000/70000000 seeds, 882001 converged
[shard 10] 884000/70000000 seeds, 884001 converged
[shard 10] 886000/70000000 seeds, 886001 converged
[shard 10] 888000/70000000 seeds, 888001 converged
[shard 10] 890000/70000000 seeds, 890001 converged
[shard 10] 892000/70000000 seeds, 892001 converged
[shard 10] 894000/70000000 seeds, 894001 converged
[shard 10] 896000/70000000 seeds, 896001 converged
[shard 10] 898000/70000000 seeds, 898001 converged
[shard 10] 900000/70000000 seeds, 900001 converged
[shard 10] 902000/70000000 seeds, 902001 converged
[shard 10] 904000/70000000 seeds, 904001 converged
[shard 10] 906000/70000000 seeds, 906001 converged
[shard 10] 908000/70000000 seeds, 908001 converged
[shard 10] 910000/70000000 seeds, 910001 converged
[shard 10] 912000/70000000 seeds, 912001 converged
[shard 10] 914000/70000000 seeds, 914001 converged
[shard 10] 916000/70000000 seeds, 916001 converged
[shard 10] 918000/70000000 seeds, 918001 converged
[shard 10] 920000/70000000 seeds, 920001 converged
[shard 10] 922000/70000000 seeds, 922001 converged
[shard 10] 924000/70000000 seeds, 924001 converged
[shard 10] 926000/70000000 seeds, 926001 converged
[shard 10] 928000/70000000 seeds, 928001 converged
[shard 10] 930000/70000000 seeds, 930001 converged
[shard 10] 932000/70000000 seeds, 932001 converged
[shard 10] 934000/70000000 seeds, 934001 converged
[shard 10] 936000/70000000 seeds, 936001 converged
[shard 10] 938000/70000000 seeds, 938001 converged
[shard 10] 940000/70000000 seeds, 940001 converged
[shard 10] 942000/70000000 seeds, 942001 converged
[shard 10] 944000/70000000 seeds, 944001 converged
[shard 10] 946000/70000000 seeds, 946001 converged
[shard 10] 948000/70000000 seeds, 948001 converged
[shard 10] 950000/70000000 seeds, 950001 converged
[shard 10] 952000/70000000 seeds, 952001 converged
[shard 10] 954000/70000000 seeds, 954001 converged
[shard 10] 956000/70000000 seeds, 956001 converged
[shard 10] 958000/70000000 seeds, 958001 converged
[shard 10] 960000/70000000 seeds, 960001 converged
[shard 10] 962000/70000000 seeds, 962001 converged
[shard 10] 964000/70000000 seeds, 964001 converged
[shard 10] 966000/70000000 seeds, 966001 converged
[shard 10] 968000/70000000 seeds, 968001 converged
[shard 10] 970000/70000000 seeds, 970001 converged
[shard 10] 972000/70000000 seeds, 972001 converged
[shard 10] 974000/70000000 seeds, 974001 converged
[shard 10] 976000/70000000 seeds, 976001 converged
[shard 10] 978000/70000000 seeds, 978001 converged
[shard 10] 980000/70000000 seeds, 980001 converged
[shard 10] 982000/70000000 seeds, 982001 converged
[shard 10] 984000/70000000 seeds, 984001 converged
[shard 10] 986000/70000000 seeds, 986001 converged
[shard 10] 988000/70000000 seeds, 988001 converged
[shard 10] 990000/70000000 seeds, 990001 converged
[shard 10] 992000/70000000 seeds, 992001 converged
[shard 10] 994000/70000000 seeds, 994001 converged
[shard 10] 996000/70000000 seeds, 996001 converged
[shard 10] 998000/70000000 seeds, 998001 converged
[shard 10] 1000000/70000000 seeds, 1000001 converged
[shard 10] 1002000/70000000 seeds, 1002001 converged
[shard 10] 1004000/70000000 seeds, 1004001 converged
[shard 10] 1006000/70000000 seeds, 1006001 converged
[shard 10] 1008000/70000000 seeds, 1008001 converged
[shard 10] 1010000/70000000 seeds, 1010001 converged
[shard 10] 1012000/70000000 seeds, 1012001 converged
[shard 10] 1014000/70000000 seeds, 1014001 converged
[shard 10] 1016000/70000000 seeds, 1016001 converged
[shard 10] 1018000/70000000 seeds, 1018001 converged
[shard 10] 1020000/70000000 seeds, 1020001 converged
[shard 10] 1022000/70000000 seeds, 1022001 converged
[shard 10] 1024000/70000000 seeds, 1024001 converged
[shard 10] 1026000/70000000 seeds, 1026001 converged
[shard 10] 1028000/70000000 seeds, 1028001 converged
[shard 10] 1030000/70000000 seeds, 1030001 converged
[shard 10] 1032000/70000000 seeds, 1032001 converged
[shard 10] 1034000/70000000 seeds, 1034001 converged
[shard 10] 1036000/70000000 seeds, 1036001 converged
[shard 10] 1038000/70000000 seeds, 1038001 converged
[shard 10] 1040000/70000000 seeds, 1040001 converged
[shard 10] 1042000/70000000 seeds, 1042001 converged
[shard 10] 1044000/70000000 seeds, 1044001 converged
[shard 10] 1046000/70000000 seeds, 1046001 converged
[shard 10] 1048000/70000000 seeds, 1048001 converged
[shard 10] 1050000/70000000 seeds, 1050001 converged
[shard 10] 1052000/70000000 seeds, 1052001 converged
[shard 10] 1054000/70000000 seeds, 1054001 converged
[shard 10] 1056000/70000000 seeds, 1056001 converged
[shard 10] 1058000/70000000 seeds, 1058001 converged
[shard 10] 1060000/70000000 seeds, 1060001 converged
[shard 10] 1062000/70000000 seeds, 1062001 converged
[shard 10] 1064000/70000000 seeds, 1064001 converged
[shard 10] 1066000/70000000 seeds, 1066001 converged
[shard 10] 1068000/70000000 seeds, 1068001 converged
[shard 10] 1070000/70000000 seeds, 1070001 converged
[shard 10] 1072000/70000000 seeds, 1072001 converged
[shard 10] 1074000/70000000 seeds, 1074001 converged
[shard 10] 1076000/70000000 seeds, 1076001 converged
[shard 10] 1078000/70000000 seeds, 1078001 converged
[shard 10] 1080000/70000000 seeds, 1080001 converged
[shard 10] 1082000/70000000 seeds, 1082001 converged
[shard 10] 1084000/70000000 seeds, 1084001 converged
[shard 10] 1086000/70000000 seeds, 1086001 converged
[shard 10] 1088000/70000000 seeds, 1088001 converged
[shard 10] 1090000/70000000 seeds, 1090001 converged
[shard 10] 1092000/70000000 seeds, 1092001 converged
[shard 10] 1094000/70000000 seeds, 1094001 converged
[shard 10] 1096000/70000000 seeds, 1096001 converged
[shard 10] 1098000/70000000 seeds, 1098001 converged
[shard 10] 1100000/70000000 seeds, 1100001 converged
[shard 10] 1102000/70000000 seeds, 1102001 converged
[shard 10] 1104000/70000000 seeds, 1104001 converged
[shard 10] 1106000/70000000 seeds, 1106001 converged
