label,phase,depth_lo,depth_hi,max_offset,kind,attempts,columns,events,pass_events,fail_events,c0_zero_events,c0_zero_rate,rank_actual,affine_rank_actual,rank_fail,affine_rank_fail,capacity,capacity_deficit_actual,column_nullity_actual,full_column_rank_actual,constant_actual_columns,duplicate_actual_column_patterns,max_duplicate_actual_pattern,rank_status
all,30,,,77,pre_onset_lock,83,9,747,547,200,747,1.0,9,9,9,9,9,0,0,1,0,0,1,full_capacity
all,30,,,103,pre_onset_lock,83,11,913,671,242,913,1.0,11,11,11,11,11,0,0,1,0,0,1,full_capacity
all,30,,,1600,pre_onset_lock,83,82,6806,6287,519,6806,1.0,25,25,25,25,82,57,57,0,0,6,2,column_dependency
40-77,30,40,77,77,pre_onset_lock,80,9,720,520,200,720,1.0,9,9,9,9,9,0,0,1,0,0,1,full_capacity
40-77,30,40,77,103,pre_onset_lock,80,11,880,642,238,880,1.0,11,11,11,11,11,0,0,1,0,0,1,full_capacity
40-77,30,40,77,1600,pre_onset_lock,80,82,6560,6045,515,6560,1.0,25,25,25,25,80,55,57,0,0,6,2,sample_limited_dependency
78-103,30,78,103,77,pre_onset_lock,3,9,27,27,0,27,1.0,1,0,0,0,3,2,8,0,9,7,5,sample_limited_dependency
78-103,30,78,103,103,pre_onset_lock,3,11,33,29,4,33,1.0,2,1,2,1,3,1,9,0,10,8,6,sample_limited_dependency
78-103,30,78,103,1600,pre_onset_lock,3,82,246,242,4,246,1.0,2,1,2,1,3,1,80,0,81,79,75,sample_limited_dependency
80-,30,80,,77,pre_onset_lock,3,9,27,27,0,27,1.0,1,0,0,0,3,2,8,0,9,7,5,sample_limited_dependency
80-,30,80,,103,pre_onset_lock,3,11,33,29,4,33,1.0,2,1,2,1,3,1,9,0,10,8,6,sample_limited_dependency
80-,30,80,,1600,pre_onset_lock,3,82,246,242,4,246,1.0,2,1,2,1,3,1,80,0,81,79,75,sample_limited_dependency
104-,30,104,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,30,104,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,30,104,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,30,208,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,30,208,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,30,208,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,30,512,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,30,512,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,30,512,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
all,24,,,77,pre_onset_lock,73,11,803,626,177,802,0.9987546699875467,10,10,10,10,11,1,1,0,1,0,1,column_dependency
all,24,,,103,pre_onset_lock,73,12,876,693,183,875,0.9988584474885844,11,11,11,11,12,1,1,0,1,0,1,column_dependency
all,24,,,1600,pre_onset_lock,73,97,7081,6797,284,7066,0.9978816551334557,17,17,17,17,73,56,80,0,22,68,22,sample_limited_dependency
40-77,24,40,77,77,pre_onset_lock,70,11,770,593,177,769,0.9987012987012988,10,10,10,10,11,1,1,0,1,0,1,column_dependency
40-77,24,40,77,103,pre_onset_lock,70,12,840,659,181,839,0.9988095238095238,11,11,11,11,12,1,1,0,1,0,1,column_dependency
40-77,24,40,77,1600,pre_onset_lock,70,97,6790,6509,281,6775,0.9977908689248896,16,16,16,16,70,54,81,0,22,69,22,sample_limited_dependency
78-103,24,78,103,77,pre_onset_lock,2,11,22,22,0,22,1.0,1,0,0,0,2,1,10,0,11,9,6,sample_limited_dependency
78-103,24,78,103,103,pre_onset_lock,2,12,24,22,2,24,1.0,1,0,1,0,2,1,11,0,12,10,6,sample_limited_dependency
78-103,24,78,103,1600,pre_onset_lock,2,97,194,192,2,194,1.0,1,0,1,0,2,1,96,0,97,95,91,sample_limited_dependency
80-,24,80,,77,pre_onset_lock,3,11,33,33,0,33,1.0,1,0,0,0,3,2,10,0,11,9,6,sample_limited_dependency
80-,24,80,,103,pre_onset_lock,3,12,36,34,2,36,1.0,2,1,1,1,3,1,10,0,11,9,6,sample_limited_dependency
80-,24,80,,1600,pre_onset_lock,3,97,291,288,3,291,1.0,2,1,2,1,3,1,95,0,95,93,90,sample_limited_dependency
104-,24,104,,77,pre_onset_lock,1,11,11,11,0,11,1.0,1,0,0,0,1,0,10,0,11,9,6,full_capacity
104-,24,104,,103,pre_onset_lock,1,12,12,12,0,12,1.0,1,0,0,0,1,0,11,0,12,10,7,full_capacity
104-,24,104,,1600,pre_onset_lock,1,97,97,96,1,97,1.0,1,0,1,0,1,0,96,0,97,95,91,full_capacity
208-,24,208,,77,pre_onset_lock,1,11,11,11,0,11,1.0,1,0,0,0,1,0,10,0,11,9,6,full_capacity
208-,24,208,,103,pre_onset_lock,1,12,12,12,0,12,1.0,1,0,0,0,1,0,11,0,12,10,7,full_capacity
208-,24,208,,1600,pre_onset_lock,1,97,97,96,1,97,1.0,1,0,1,0,1,0,96,0,97,95,91,full_capacity
512-,24,512,,77,pre_onset_lock,1,11,11,11,0,11,1.0,1,0,0,0,1,0,10,0,11,9,6,full_capacity
