[shard 1] 0/70000000 seeds, 1 converged
[shard 1] 2000/70000000 seeds, 2001 converged
[shard 1] 4000/70000000 seeds, 4001 converged
[shard 1] 6000/70000000 seeds, 6001 converged
[shard 1] 8000/70000000 seeds, 8001 converged
[shard 1] 10000/70000000 seeds, 10001 converged
[shard 1] 12000/70000000 seeds, 12001 converged
[shard 1] 14000/70000000 seeds, 14001 converged
[shard 1] 16000/70000000 seeds, 16001 converged
[shard 1] 18000/70000000 seeds, 18001 converged
[shard 1] 20000/70000000 seeds, 20001 converged
[shard 1] 22000/70000000 seeds, 22001 converged
[shard 1] 24000/70000000 seeds, 24001 converged
[shard 1] 26000/70000000 seeds, 26001 converged
[shard 1] 28000/70000000 seeds, 28001 converged
[shard 1] 30000/70000000 seeds, 30001 converged
[shard 1] 32000/70000000 seeds, 32001 converged
[shard 1] 34000/70000000 seeds, 34001 converged
[shard 1] 36000/70000000 seeds, 36001 converged
[shard 1] 38000/70000000 seeds, 38001 converged
[shard 1] 40000/70000000 seeds, 40001 converged
[shard 1] 42000/70000000 seeds, 42001 converged
[shard 1] 44000/70000000 seeds, 44001 converged
[shard 1] 46000/70000000 seeds, 46001 converged
[shard 1] 48000/70000000 seeds, 48001 converged
[shard 1] 50000/70000000 seeds, 50001 converged
[shard 1] 52000/70000000 seeds, 52001 converged
[shard 1] 54000/70000000 seeds, 54001 converged
[shard 1] 56000/70000000 seeds, 56001 converged
[shard 1] 58000/70000000 seeds, 58001 converged
[shard 1] 60000/70000000 seeds, 60001 converged
[shard 1] 62000/70000000 seeds, 62001 converged
[shard 1] 64000/70000000 seeds, 64001 converged
[shard 1] 66000/70000000 seeds, 66001 converged
[shard 1] 68000/70000000 seeds, 68001 converged
[shard 1] 70000/70000000 seeds, 70001 converged
[shard 1] 72000/70000000 seeds, 72001 converged
[shard 1] 74000/70000000 seeds, 74001 converged
[shard 1] 76000/70000000 seeds, 76001 converged
[shard 1] 78000/70000000 seeds, 78001 converged
