attempt_id,idx,shard,onset,rngstate,threshold,start,time_frac,actual_phase,depth,first_bad_offset,depth_minus_offset,eval_phase,bad_kind,rel_x,rel_y,l1,linf,period_index,offset_mod_period,phase_drift_x,phase_drift_y,comoving_rel_x,comoving_rel_y,comoving_l1,comoving_linf,linear_linf_residual,required_black,actual_black,origin_x,origin_y,heading,abs_x,abs_y,depth_bin,physical_key,is_physical_first
0:18,0,0,313358,4700473787566636120,40,171646,0.5477632611900766,103,45,45,0,103,missing_black,3,-4,7,4,0,45,2,-2,3,-4,7,4,3.1346153846153846,1,0,15,-65,2,12,-61,40-77,0:171646:103:15:-65:2:45:3:-4:missing_black:1:0,1
0:19,0,0,313358,4700473787566636120,40,206449,0.6588279220571998,0,43,43,0,0,frontier_black_collision,-4,-1,5,4,0,43,-2,-2,-4,-1,5,4,3.1730769230769234,0,1,13,-78,3,12,-74,40-77,0:206449:0:13:-78:3:43:-4:-1:frontier_black_collision:0:1,1
0:20,0,0,313358,4700473787566636120,40,216215,0.6899935536989641,24,47,47,0,24,frontier_black_collision,-8,1,9,8,0,47,-2,-2,-8,1,9,8,7.096153846153846,0,1,-38,17,3,-37,25,40-77,0:216215:24:-38:17:3:47:-8:1:frontier_black_collision:0:1,1
0:21,0,0,313358,4700473787566636120,40,273208,0.8718717888166251,25,45,45,0,25,frontier_black_collision,-1,-6,7,6,0,45,2,-2,-1,-6,7,6,5.134615384615385,0,1,50,-2,0,49,-8,40-77,0:273208:25:50:-2:0:45:-1:-6:frontier_black_collision:0:1,1
0:22,0,0,313358,4700473787566636120,40,273511,0.8728387339720065,0,76,76,0,0,missing_black,-6,0,6,6,0,76,-2,-2,-6,0,6,6,4.538461538461538,1,0,58,-37,1,58,-43,40-77,0:273511:0:58:-37:1:76:-6:0:missing_black:1:0,1
0:23,0,0,313358,4700473787566636120,40,273735,0.8735535713145987,0,70,70,0,0,frontier_black_collision,-7,-1,8,7,0,70,-2,-2,-7,-1,8,7,5.653846153846153,0,1,60,-39,1,61,-46,40-77,0:273735:0:60:-39:1:70:-7:-1:frontier_black_collision:0:1,1
0:24,0,0,313358,4700473787566636120,40,274682,0.8765756738299325,103,46,46,0,103,frontier_black_collision,3,-5,8,5,0,46,2,-2,3,-5,8,5,4.115384615384615,0,1,61,-41,0,64,-46,40-77,0:274682:103:61:-41:0:46:3:-5:frontier_black_collision:0:1,1
0:25,0,0,313358,4700473787566636120,40,276455,0.882233739046075,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,44,-57,1,46,-62,40-77,0:276455:0:44:-57:1:45:-5:-2:frontier_black_collision:0:1,1
0:26,0,0,313358,4700473787566636120,40,285369,0.91068043579548,26,72,72,0,26,missing_black,-2,4,6,4,0,72,-2,-2,-2,4,6,4,2.6153846153846154,1,0,33,-90,1,29,-92,40-77,0:285369:26:33:-90:1:72:-2:4:missing_black:1:0,1
0:27,0,0,313358,4700473787566636120,80,287274,0.91675974444565,0,99,99,0,0,missing_black,-2,1,3,2,0,99,-2,-2,-2,1,3,2,0.09615384615384626,1,0,-15,-89,0,-17,-88,78-103,0:287274:0:-15:-89:0:99:-2:1:missing_black:1:0,1
0:28,0,0,313358,4700473787566636120,40,293928,0.9379942430064017,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,-48,8,2,-43,10,40-77,0:293928:0:-48:8:2:45:-5:-2:frontier_black_collision:0:1,1
0:29,0,0,313358,4700473787566636120,40,295245,0.9421971036322673,31,71,71,0,31,missing_black,-2,1,3,2,0,71,2,-2,-2,1,3,2,0.6346153846153846,1,0,-51,-4,3,-50,-2,40-77,0:295245:31:-51:-4:3:71:-2:1:missing_black:1:0,1
0:30,0,0,313358,4700473787566636120,40,299290,0.9551056618947019,24,77,77,0,24,missing_black,-1,2,3,2,0,77,-2,-2,-1,2,3,2,0.5192307692307692,1,0,-53,-7,0,-54,-5,40-77,0:299290:24:-53:-7:0:77:-1:2:missing_black:1:0,1
0:31,0,0,313358,4700473787566636120,40,310377,0.9904869191148782,25,45,45,0,25,frontier_black_collision,-1,-6,7,6,0,45,2,-2,-1,-6,7,6,5.134615384615385,0,1,19,58,1,25,57,40-77,0:310377:25:19:58:1:45:-1:-6:frontier_black_collision:0:1,1
