idx,shard,onset,rngstate,seed_side,seed_density,delta4_auto,deep_black_total,deep_black_rate,deep_black_core,deep_black_core_rate,deep_black_tail,deep_black_tail_rate,fresh_bite_total,fresh_bite_rate,fresh_bite_core,fresh_bite_core_rate,fresh_bite_tail,fresh_bite_tail_rate,deep_L313_min_count,deep_L313_min_rate,deep_L313_min_start,bite_L313_min_count,bite_L313_min_rate,bite_L313_min_start,deep_L1040_min_count,deep_L1040_min_rate,deep_L1040_min_start,bite_L1040_min_count,bite_L1040_min_rate,bite_L1040_min_start,deep_L10400_min_count,deep_L10400_min_rate,deep_L10400_min_start,bite_L10400_min_count,bite_L10400_min_rate,bite_L10400_min_start,D40_all_steps,D40_all_rate,D40_all_runs,D40_all_maxD,D40_all_maxD_start,D40_core_steps,D40_core_rate,D40_core_runs,D40_core_maxD,D40_core_maxD_start,D40_tail_steps,D40_tail_rate,D40_tail_runs,D40_tail_maxD,D40_tail_maxD_start,D80_all_steps,D80_all_rate,D80_all_runs,D80_all_maxD,D80_all_maxD_start,D80_core_steps,D80_core_rate,D80_core_runs,D80_core_maxD,D80_core_maxD_start,D80_tail_steps,D80_tail_rate,D80_tail_runs,D80_tail_maxD,D80_tail_maxD_start
10,10,270401,9220737208495014129,20,0.391050,0.006389776358,62805,0.23226615286186073,43478,0.22970202874049028,19327,0.23824903539157555,15117,0.05590585833632272,11630,0.06144336432797971,3487,0.04298517030115506,26,0.08306709265175719,212880,0,0.0,8407,130,0.125,194562,0,0.0,27107,2061,0.19817307692307692,0,110,0.010576923076923078,239443,2876,0.010636055340032027,147,799,186752,2750,0.014528740490278951,126,799,186752,126,0.0015532352904919812,21,77,250235,1245,0.004604272913191889,10,799,186752,1245,0.0065775570583262895,10,799,186752,0,0.0,0,0,
11,11,268891,15693941383896591225,8,0.331200,0.006389776358,62503,0.232447348553875,43065,0.22879775585342918,19438,0.24096295928992909,14003,0.052076863859333335,10647,0.05656588195916546,3356,0.041602618138543164,19,0.06070287539936102,140297,0,0.0,6534,113,0.10865384615384616,67,0,0.0,51888,1836,0.17653846153846153,5,0,0.0,149636,872,0.003242949745435883,129,98,240063,571,0.003033635634327367,97,95,5023,301,0.0037313432835820895,32,98,240063,37,0.00013760222543707302,3,98,240063,16,8.500555192511011e-05,1,95,5023,21,0.00026032627559875043,2,98,240063
12,12,267843,18287853548615453633,22,0.542600,0.006389776358,63328,0.2364370172078419,43757,0.23338311376606752,19571,0.24356277923661843,13061,0.0487636413869319,9881,0.05270147741212865,3180,0.039575373663708883,28,0.08945686900958466,89812,0,0.0,5027,143,0.1375,154817,0,0.0,18129,2075,0.19951923076923078,718,59,0.005673076923076923,248280,1280,0.004778918993589528,113,103,219670,829,0.0044215691503546855,79,99,68234,451,0.00561273381205431,34,103,219670,82,0.00030614949802682917,4,103,219670,39,0.00020801109392500934,2,99,68234,43,0.0005351387004841139,2,103,219670
13,13,267828,2592558225885312534,24,0.359550,0.006389776358,61718,0.2304389384231671,42412,0.22622267027240384,19306,0.24027679249275039,15362,0.05735770718520842,12235,0.06526064252529616,3127,0.03891772144021705,24,0.07667731629392971,70829,0,0.0,7548,132,0.12692307692307692,78511,0,0.0,43848,1998,0.1921153846153846,11196,52,0.005,213359,1478,0.005518467075884523,150,279,99997,1202,0.006411384741757744,115,279,99997,276,0.003435014748161147,35,78,193518,253,0.0009446361097420733,6,279,99997,253,0.0013494844755946,6,279,99997,0,0.0,0,0,
14,14,266260,6676073668202534420,13,0.373900,0.006389776358,61534,0.23110493502591453,42383,0.22739856853129595,19151,0.23975312351335787,14999,0.05633215653872155,11917,0.0639385777596549,3082,0.038583840356543726,23,0.07348242811501597,255321,0,0.0,2758,123,0.11826923076923077,1151,0,0.0,22599,1966,0.18903846153846154,326,108,0.010384615384615384,198283,1013,0.0038045519417111095,128,99,1283,828,0.004442489081563671,106,99,1283,185,0.002316031948721801,22,78,244732,39,0.00014647337189213551,2,99,1283,39,0.00020924767413162216,2,99,1283,0,0.0,0,0,
15,15,265407,1785944205930647325,23,0.360600,0.006389776358,61967,0.23347914712121384,42776,0.23024587693235155,19191,0.24102332240684224,14404,0.05427136435738319,11174,0.06014511475692202,3230,0.04056616806701581,23,0.07348242811501597,129644,0,0.0,5126,133,0.12788461538461537,652,0,0.0,33569,1820,0.175,602,93,0.008942307692307692,244633,1078,0.004061686391089911,134,78,201106,779,0.00419304138138914,104,76,56505,299,0.0037551963628599774,30,78,201106,0,0.0,0,0,,0,0.0,0,0,,0,0.0,0,0,
16,16,265277,2581380668079156450,21,0.571650,0.006389776358,62259,0.2346943006743894,42801,0.2304933411598714,19458,0.24449638118214717,13383,0.05044915314934955,10819,0.05826283166301369,2564,0.03221753116204262,23,0.07348242811501597,246285,0,0.0,7617,124,0.11923076923076924,1082,0,0.0,29791,1828,0.17576923076923076,51,14,0.001346153846153846,215393,1430,0.005390591721106617,118,273,183153,843,0.0045397510945485295,86,273,183153,587,0.007375854443104141,32,164,242794,342,0.0012892184395933307,5,273,183153,214,0.0011524397796362814,2,273,183153,128,0.0016083634901487736,3,164,242794
17,17,260282,421234894265933870,24,0.350800,0.006389776358,61268,0.23539084531392873,42339,0.23238033557083815,18929,0.24241531664212077,13161,0.05056438785624822,10145,0.0556814876205426,3016,0.03862457578280079,26,0.08306709265175719,706,0,0.0,2544,121,0.11634615384615385,8915,0,0.0,17613,1914,0.18403846153846154,6245,61,0.005865384615384615,157859,1255,0.004821693394087951,127,100,91743,907,0.00497812807016581,101,100,91743,348,0.0044566818210923995,26,81,234743,23,8.836569566854412e-05,2,100,91743,21,0.00011525985608983683,1,100,91743,2,2.5613113914324134e-05,1,81,234743
18,18,257885,2535352621422342788,16,0.485550,0.006389776358,59955,0.2324873490121566,41092,0.22763254837440935,18863,0.24381511258175426,13897,0.053888361091184056,10880,0.060270664029825116,3017,0.03899645839257555,21,0.0670926517571885,134993,0,0.0,3122,136,0.13076923076923078,164783,0,0.0,32060,2010,0.19326923076923078,163009,81,0.007788461538461538,178479,1009,0.003912596700079493,116,82,193653,634,0.0035120956796791474,82,77,21107,375,0.0048470904531706435,34,82,193653,3,1.1633092269810187e-05,1,82,193653,0,0.0,0,0,,3,3.877672362536515e-05,1,82,193653
19,19,255436,9980582288230158201,19,0.564650,0.006389776358,59678,0.23363190779686496,41083,0.2297642683370152,18595,0.24265636622254702,13661,0.05348110681344838,10827,0.060551997986633486,2834,0.03698242225731101,22,0.07028753993610223,951,0,0.0,4254,123,0.11826923076923077,32687,0,0.0,30201,2080,0.2,328,77,0.007403846153846154,233122,1567,0.006134609060586605,124,488,52259,1448,0.008098207544531753,101,488,52259,119,0.0015528963474311962,23,78,245644,459,0.00179692760613226,4,488,52259,459,0.0025670423086602725,4,488,52259,0,0.0,0,0,
20,20,255171,7363838155587417590,23,0.474000,0.006389776358,59446,0.2329653448079915,41057,0.22985796583790077,18389,0.24021580102414045,14080,0.0551786840981146,11131,0.06231699875153259,2949,0.038522834151949,22,0.07028753993610223,592,0,0.0,5649,113,0.10865384615384616,89,0,0.0,30007,1913,0.18394230769230768,71,131,0.012596153846153845,190752,1334,0.0052278668030458,130,100,11098,1097,0.006141563887380402,100,100,11098,237,0.003095934789424182,30,77,254599,60,0.00023513643791810197,4,100,11098,60,0.00033591051343921977,4,100,11098,0,0.0,0,0,
21,21,255129,3024456195432903186,13,0.405400,0.006389776358,58084,0.22766522033951453,39553,0.22147376672826027,18531,0.24211186453964645,15994,0.06268985493613034,13181,0.07380592418388487,2813,0.03675250525875697,21,0.0670926517571885,103683,0,0.0,11725,131,0.12596153846153846,4580,0,0.0,45853,1876,0.1803846153846154,7,98,0.009423076923076923,176211,3158,0.01237805188747653,151,1591,162587,2898,0.016227112380312447,125,1591,162587,260,0.0033969610264048392,26,98,191775,1590,0.00623214138729819,5,1591,162587,1571,0.008796685144744947,4,1591,162587,19,0.0002482394596218921,1,98,191775
22,22,252072,15996951898054259342,15,0.575500,0.006389776358,59019,0.2341354850994954,40238,0.2280419382261264,18781,0.2483536536986591,13233,0.052496905646005905,10675,0.060498724851232644,2558,0.03382613525164634,25,0.07987220447284345,57063,0,0.0,4186,140,0.1346153846153846,4766,0,0.0,36825,1967,0.18913461538461537,421,151,0.014519230769230769,142635,1058,0.0041972134945571105,113,100,163547,778,0.004409181071124964,85,100,163547,280,0.0037026262198831027,28,99,209873,109,0.00043241613507251895,6,100,163547,70,0.0003967129498441485,4,100,163547,39,0.0005157229377694321,2,99,209873
23,23,251853,13807782660207995538,14,0.392800,0.006389776358,58712,0.23312011371712865,40352,0.22888648133547365,18360,0.24299857059664354,13839,0.05494872008671725,11009,0.06244575914507904,2830,0.0374556620255175,28,0.08945686900958466,142338,0,0.0,10471,127,0.12211538461538461,195563,0,0.0,19938,1884,0.18115384615384617,67,144,0.013846153846153847,217929,1052,0.004177039781142174,143,98,122883,856,0.004855442803904774,119,98,122883,196,0.002594102387633014,24,78,177484,19,7.544083254914574e-05,1,98,122883,19,0.00010777267905863401,1,98,122883,0,0.0,0,0,
