class_rank,phase,comoving_rel_x,comoving_rel_y,required_black,first_bad_count,read_events,pass_events,fail_events,pass_rate,attempts_with_class,attempts_all_pass,attempts_any_fail,attempts_mixed_pass_fail,pre_onset_events,pre_onset_pass_events,pre_onset_fail_events,entry_events,entry_pass_events,entry_fail_events,first_bad_events,unique_abs_cells,first_bad_abs_cells,pass_abs_cells,fail_abs_cells,actual_black_values,offset_mod_values,comoving_linf,raw_linf_min,raw_linf_max,top_abs_cells
34,24,-6,2,1,5,75,60,15,0.8,75,60,15,0,73,58,15,2,2,0,5,75,5,60,15,0;1,52,6,6,6,"-11,19:1;-36,23:1;-59,-5:1;-33,-11:1;-8,-8:1;-38,-26:1;51,-49:1;4,44:1"
35,25,-3,-2,1,5,27,13,14,0.48148148148148145,27,13,14,0,25,11,14,2,2,0,5,27,5,13,14,0;1,73,3,3,3,"47,-4:1;21,55:1;-35,18:1;84,-39:1;-52,-10:1;37,-20:1;-9,-2:1;61,43:1"
36,0,-6,-3,0,5,4710,4329,381,0.9191082802547771,314,214,100,100,4560,4179,381,150,150,0,5,4118,5,3798,361,0;1,55,6,6,34,"18,67:5;2,51:4;4,53:4;6,55:4;8,57:4;10,59:4;12,61:4;14,63:4"
37,31,-3,1,1,5,45,23,22,0.5111111111111111,45,23,22,0,45,23,22,0,0,0,5,45,5,23,22,0;1,70,3,3,3,"-50,-1:1;0,-62:1;40,-49:1;35,20:1;37,22:1;-8,4:1;40,7:1;-52,-55:1"
38,99,-4,8,0,5,330,304,26,0.9212121212121213,22,13,9,9,315,289,26,15,15,0,5,317,5,291,26,0;1,76,8,8,36,"-53,-64:2;-55,-66:2;-57,-68:2;-59,-70:2;-61,-72:2;-63,-74:2;-65,-76:2;-67,-78:2"
39,30,7,-2,0,5,1245,1189,56,0.9550200803212852,83,70,13,13,1245,1189,56,0,0,0,5,1164,5,1108,56,0;1,41,7,7,35,"-33,41:3;-35,43:3;-37,45:3;-39,47:3;-41,49:3;-17,25:2;-19,27:2;-21,29:2"
40,90,0,-3,0,5,75,70,5,0.9333333333333333,5,0,5,5,75,70,5,0,0,0,5,75,5,70,5,0;1,59,3,3,31,"65,-27:1;67,-29:1;69,-31:1;71,-33:1;73,-35:1;75,-37:1;77,-39:1;79,-41:1"
41,99,-3,5,1,4,22,9,13,0.4090909090909091,22,9,13,0,21,8,13,1,1,0,4,22,4,9,13,0;1,82,5,5,5,"-12,59:1;-48,23:1;52,7:1;-14,51:1;64,-19:1;27,-6:1;-33,57:1;-33,-3:1"
42,0,-5,-3,0,4,4710,4370,340,0.9278131634819533,314,226,88,88,4560,4220,340,150,150,0,4,4135,4,3845,325,0;1,46,5,5,33,"17,67:5;1,51:4;3,53:4;5,55:4;7,57:4;9,59:4;11,61:4;13,63:4"
43,24,-2,3,1,4,75,57,18,0.76,75,57,18,0,73,55,18,2,2,0,4,75,4,57,18,0;1,75,3,3,3,"-15,18:1;-35,19:1;-55,-4:1;-29,-10:1;-4,-7:1;-34,-25:1;47,-50:1;0,43:1"
44,103,3,-7,0,4,1920,1734,186,0.903125,128,59,69,69,1875,1689,186,45,45,0,4,1824,4,1662,185,0;1,62,7,7,35,"-10,-36:2;-12,-34:2;-14,-32:2;-16,-30:2;-70,-83:2;-72,-85:2;-74,-87:2;40,4:2"
45,31,-3,-4,1,4,45,38,7,0.8444444444444444,45,38,7,0,45,38,7,0,0,0,4,45,4,38,7,0;1,45,4,4,4,"-55,-1:1;0,-67:1;45,-49:1;40,20:1;42,22:1;-8,9:1;45,7:1;-57,-55:1"
46,92,1,2,1,4,4,0,4,0.0,4,0,4,0,4,0,4,0,0,0,4,4,4,0,4,0,89,2,2,2,"41,15:1;-73,-3:1;21,19:1;58,-16:1"
47,31,-4,0,1,4,45,24,21,0.5333333333333333,45,24,21,0,45,24,21,0,0,0,4,45,4,24,21,0;1,68,4,4,4,"-51,0:1;-1,-63:1;41,-50:1;36,19:1;38,21:1;-7,5:1;41,6:1;-53,-54:1"
48,24,-2,2,0,4,75,46,29,0.6133333333333333,75,46,29,0,73,44,29,2,2,0,4,75,4,46,29,0;1,76,2,2,2,"-15,19:1;-36,19:1;-55,-5:1;-29,-11:1;-4,-8:1;-34,-26:1;47,-49:1;0,44:1"
49,102,-9,-2,0,4,735,639,96,0.8693877551020408,49,23,26,26,705,609,96,30,30,0,4,713,4,624,96,0;1,73,9,9,37,"3,-23:2;5,-25:2;7,-27:2;9,-29:2;11,-31:2;13,-33:2;15,-35:2;17,-37:2"
50,100,-7,-4,0,3,390,363,27,0.9307692307692308,26,18,8,8,360,333,27,30,30,0,3,376,3,349,27,0;1,65,7,7,35,"-6,65:2;-4,67:2;-2,69:2;0,71:2;2,73:2;4,75:2;6,77:2;8,79:2"
51,100,-3,-1,1,3,26,14,12,0.5384615384615384,26,14,12,0,24,12,12,2,2,0,3,26,3,14,12,0;1,102,3,3,3,"-7,41:1;-12,60:1;-10,62:1;-13,17:1;60,-31:1;52,6:1;-24,-29:1;5,-28:1"
52,30,5,-3,1,3,83,74,9,0.891566265060241,83,74,9,0,83,74,9,0,0,0,3,83,3,74,9,0;1,46,5,5,5,"20,-19:1;-22,-14:1;-12,19:1;-16,23:1;-3,49:1;-27,56:1;38,-61:1;18,4:1"
53,31,-2,-6,0,3,720,701,19,0.9736111111111111,45,37,8,8,720,701,19,0,0,0,3,653,3,636,18,0;1,40,6,6,36,"-5,-65:3;-3,-67:3;-1,-69:3;1,-71:3;3,-73:3;5,-75:3;7,-77:3;9,-79:3"
54,30,1,-4,1,3,83,48,35,0.5783132530120482,83,48,35,0,83,48,35,0,0,0,3,83,3,48,35,0;1,69,4,4,4,"19,-15:1;-18,-13:1;-11,15:1;-15,19:1;-7,48:1;-26,52:1;37,-57:1;14,3:1"
55,99,-5,5,0,3,330,308,22,0.9333333333333333,22,12,10,10,315,293,22,15,15,0,3,317,3,295,22,0;1,50,5,5,33,"-50,-65:2;-52,-67:2;-54,-69:2;-56,-71:2;-58,-73:2;-60,-75:2;-62,-77:2;-64,-79:2"
56,16,5,-2,1,3,8,2,6,0.25,8,2,6,0,8,2,6,0,0,0,3,8,3,2,6,0;1,61,5,5,5,"19,60:1;15,-25:1;31,-9:1;-17,10:1;7,-27:1;-3,-18:1;36,48:1;-16,96:1"
57,0,-7,0,0,3,4710,4148,562,0.8806794055201699,314,143,171,171,4560,3998,562,150,150,0,3,4124,3,3655,538,0;1,89,7,7,35,"19,64:5;3,48:4;5,50:4;7,52:4;9,54:4;11,56:4;13,58:4;15,60:4"
58,102,-8,-3,0,3,735,646,89,0.8789115646258503,49,22,27,27,705,616,89,30,30,0,3,713,3,627,89,0;1,63,8,8,36,"4,-22:2;6,-24:2;8,-26:2;10,-28:2;12,-30:2;14,-32:2;16,-34:2;18,-36:2"
59,102,-6,-1,1,2,49,23,26,0.46938775510204084,49,23,26,0,47,21,26,2,2,0,2,49,2,23,26,0;1,79,6,6,6,"-2,51:1;35,24:1;32,44:1;2,-20:1;-17,-62:1;-12,26:1;44,25:1;-12,-6:1"
60,30,2,1,0,2,1245,1157,88,0.9293172690763052,83,51,32,32,1245,1157,88,0,0,0,2,1164,2,1080,88,0;1,87,2,2,30,"-36,36:3;-38,38:3;-40,40:3;-42,42:3;-44,44:3;-20,20:2;-22,22:2;-24,24:2"
61,25,-2,0,1,2,27,17,10,0.6296296296296297,27,17,10,0,25,15,10,2,2,0,2,27,2,17,10,0;1,76,2,2,2,"48,-2:1;19,56:1;-36,16:1;85,-37:1;-50,-11:1;38,-18:1;-10,-4:1;59,44:1"
62,24,-2,-3,0,2,1125,1105,20,0.9822222222222222,75,67,8,8,1095,1075,20,30,30,0,2,1093,2,1073,20,0;1,95,3,3,31,"-16,-47:2;-18,-49:2;-52,70:2;-54,72:2;-56,74:2;-58,76:2;-60,78:2;-62,80:2"
63,99,-6,6,0,2,330,308,22,0.9333333333333333,22,14,8,8,315,293,22,15,15,0,2,317,2,295,22,0;1,60,6,6,34,"-51,-66:2;-53,-68:2;-55,-70:2;-57,-72:2;-59,-74:2;-61,-76:2;-63,-78:2;-65,-80:2"
64,0,-5,-1,1,2,314,233,81,0.7420382165605095,314,233,81,0,304,223,81,10,10,0,2,312,2,232,81,0;1,50,5,5,5,"-36,11:2;1,49:2;26,-17:1;31,10:1;30,-14:1;21,-33:1;15,-37:1;-25,27:1"
65,0,-7,-3,0,2,4710,4311,399,0.9152866242038217,314,215,99,99,4560,4161,399,150,150,0,2,4116,2,3781,380,0;1,62,7,7,35,"19,67:5;3,51:4;5,53:4;7,55:4;9,57:4;11,59:4;13,61:4;15,63:4"
66,25,-2,-4,1,2,27,23,4,0.8518518518518519,27,23,4,0,25,21,4,2,2,0,2,27,2,23,4,0;1,52,4,4,4,"48,-6:1;23,56:1;-36,20:1;85,-41:1;-54,-11:1;38,-22:1;-10,0:1;63,44:1"
