class_rank,phase,comoving_rel_x,comoving_rel_y,required_black,first_bad_count,read_events,pass_events,fail_events,pass_rate,attempts_with_class,attempts_all_pass,attempts_any_fail,attempts_mixed_pass_fail,pre_onset_events,pre_onset_pass_events,pre_onset_fail_events,entry_events,entry_pass_events,entry_fail_events,first_bad_events,unique_abs_cells,first_bad_abs_cells,pass_abs_cells,fail_abs_cells,actual_black_values,offset_mod_values,comoving_linf,raw_linf_min,raw_linf_max,top_abs_cells
90,100,-5,-3,1,1,26,16,10,0.6153846153846154,26,16,10,0,24,14,10,2,2,0,1,26,1,16,10,0;1,54,5,5,5,"-5,43:1;-10,62:1;-8,64:1;-11,19:1;62,-33:1;50,4:1;-26,-27:1;3,-26:1"
91,98,4,5,0,1,90,80,10,0.8888888888888888,6,3,3,3,75,65,10,15,15,0,1,90,1,80,10,0;1,51,5,5,33,"-78,-85:1;-80,-87:1;-82,-89:1;-84,-91:1;-86,-93:1;-88,-95:1;-90,-97:1;-92,-99:1"
92,21,2,-6,0,1,48,45,3,0.9375,3,1,2,2,48,45,3,0,0,0,1,48,1,45,3,0;1,40,6,6,36,"-10,-49:1;-12,-51:1;-14,-53:1;-16,-55:1;-18,-57:1;-20,-59:1;-22,-61:1;-24,-63:1"
93,100,-8,-4,0,1,390,353,37,0.9051282051282051,26,15,11,11,360,323,37,30,30,0,1,376,1,339,37,0;1,76,8,8,36,"-5,65:2;-3,67:2;-1,69:2;1,71:2;3,73:2;5,75:2;7,77:2;9,79:2"
94,100,-4,-4,1,1,26,24,2,0.9230769230769231,26,24,2,0,24,22,2,2,2,0,1,26,1,24,2,0;1,48,4,4,4,"-6,44:1;-11,63:1;-9,65:1;-12,20:1;63,-32:1;51,3:1;-27,-28:1;2,-27:1"
95,103,2,-7,0,1,1920,1739,181,0.9057291666666667,128,49,79,79,1875,1694,181,45,45,0,1,1836,1,1667,180,0;1,71,7,7,35,"-9,-36:2;-11,-34:2;-13,-32:2;-15,-30:2;-36,-14:2;-70,-82:2;-72,-84:2;-74,-86:2"
96,99,-5,8,0,1,330,310,20,0.9393939393939394,22,13,9,9,315,295,20,15,15,0,1,317,1,297,20,0;1,77,8,8,36,"-53,-65:2;-55,-67:2;-57,-69:2;-59,-71:2;-61,-73:2;-63,-75:2;-65,-77:2;-67,-79:2"
97,25,-2,-1,0,1,27,16,11,0.5925925925925926,27,16,11,0,25,14,11,2,2,0,1,27,1,16,11,0;1,75,2,2,2,"48,-3:1;20,56:1;-36,17:1;85,-38:1;-51,-11:1;38,-19:1;-10,-3:1;60,44:1"
98,101,-4,6,0,1,90,72,18,0.8,6,1,5,5,90,72,18,0,0,0,1,90,1,72,18,0;1,48,6,6,34,"30,-21:1;32,-19:1;34,-17:1;36,-15:1;38,-13:1;40,-11:1;42,-9:1;44,-7:1"
99,99,-6,7,0,1,330,308,22,0.9333333333333333,22,14,8,8,315,293,22,15,15,0,1,317,1,295,22,0;1,67,7,7,35,"-52,-66:2;-54,-68:2;-56,-70:2;-58,-72:2;-60,-74:2;-62,-76:2;-64,-78:2;-66,-80:2"
100,99,-4,7,0,1,330,304,26,0.9212121212121213,22,10,12,12,315,289,26,15,15,0,1,317,1,291,26,0;1,75,7,7,35,"-52,-64:2;-54,-66:2;-56,-68:2;-58,-70:2;-60,-72:2;-62,-74:2;-64,-76:2;-66,-78:2"
101,16,7,-1,0,1,120,105,15,0.875,8,3,5,5,120,105,15,0,0,0,1,120,1,105,15,0;1,54,7,7,35,"21,61:1;23,63:1;25,65:1;27,67:1;29,69:1;31,71:1;33,73:1;35,75:1"
102,25,-1,-7,0,1,405,400,5,0.9876543209876543,27,25,2,2,375,370,5,30,30,0,1,391,1,387,5,0;1,46,7,7,35,"51,-11:2;53,-13:2;55,-15:2;57,-17:2;59,-19:2;61,-21:2;63,-23:2;65,-25:2"
103,97,-3,4,1,1,5,3,2,0.6,5,3,2,0,4,2,2,1,1,0,1,5,1,3,2,0;1,57,4,4,4,"-39,22:1;24,-26:1;15,-10:1;-41,14:1;53,-10:1"
104,31,-3,-5,0,1,675,655,20,0.9703703703703703,45,36,9,9,675,655,20,0,0,0,1,613,1,594,19,0;1,58,5,5,33,"-6,-64:3;-4,-66:3;-2,-68:3;0,-70:3;2,-72:3;4,-74:3;6,-76:3;8,-78:3"
105,30,6,-3,0,1,1245,1181,64,0.9485943775100402,83,69,14,14,1245,1181,64,0,0,0,1,1164,1,1100,64,0;1,59,6,6,34,"-32,40:3;-34,42:3;-36,44:3;-38,46:3;-40,48:3;-16,24:2;-18,26:2;-20,28:2"
106,26,-5,3,1,1,4,2,2,0.5,4,2,2,0,4,2,2,0,0,0,1,4,1,2,2,0;1,50,5,5,5,"30,-95:1;-3,66:1;-52,-36:1;-21,-20:1"
107,97,-2,4,1,1,5,2,3,0.4,5,2,3,0,4,1,3,1,1,0,1,5,1,2,3,0;1,84,4,4,4,"-38,22:1;24,-25:1;14,-10:1;-40,14:1;52,-10:1"
