radius,horizon,eval_phase,observed_turn_bit,patch_hash,patch_bytes,bucket_size_at_detection,n,disc_rel_x,disc_rel_y,disc_l1,disc_linf,required_black,early_actual_black,late_actual_black,bad_kind,h_early,h_late,early_anchor_id,late_anchor_id,early_idx,late_idx,early_family,late_family,early_start,late_start,early_origin_x,early_origin_y,early_heading,late_origin_x,late_origin_y,late_heading,verified_same_local_patch,verified_prior_reads_same_verdict,verified_discriminator_outside_R
8,512,98,0,1e838dafb7a51b780addaa3772ef0181,37,2,494,15,13,28,15,0,1,0,frontier_black_collision,494,513,5:grid:117,5:grid:116,5,5,grid,grid,60840,60320,48,-36,2,58,-26,2,1,1,1
8,1600,98,0,1e838dafb7a51b780addaa3772ef0181,37,2,494,15,13,28,15,0,1,0,frontier_black_collision,494,1014,5:grid:117,5:grid:116,5,5,grid,grid,60840,60320,48,-36,2,58,-26,2,1,1,1
