idx,lock_index,shard,onset,rngstate,threshold,start,time_frac,kind,ok,phase,depth,first_bad_offset,bad_rel_x,bad_rel_y,bad_abs_x,bad_abs_y,required_black,actual_black,bad_kind,verdict,start_mod2,start_mod4,start_mod8,start_mod16
1,1,1,307906,4692330403214779697,40,11621,0.0377420381545017,pre_onset_lock,0,30,47,47,4,-3,-12,18,1,0,missing_black,gate_exact_death,1,1,5,5
1,2,1,307906,4692330403214779697,80,16141,0.05242184303001565,pre_onset_lock,0,30,86,86,1,1,-20,19,1,0,missing_black,gate_exact_death,1,1,5,13
1,3,1,307906,4692330403214779697,40,16301,0.05294148214065331,pre_onset_lock,0,0,45,45,-5,-2,-23,17,0,1,frontier_black_collision,gate_exact_death,1,1,5,13
1,4,1,307906,4692330403214779697,40,30849,0.10018966827538274,pre_onset_lock,0,0,77,77,-5,0,-21,-7,1,0,missing_black,gate_exact_death,1,1,1,1
1,5,1,307906,4692330403214779697,40,39782,0.12920176937117173,pre_onset_lock,0,103,46,46,3,-5,-34,12,0,1,frontier_black_collision,gate_exact_death,0,2,6,6
1,6,1,307906,4692330403214779697,40,48148,0.15637239936863848,pre_onset_lock,0,25,45,45,-1,-6,-37,22,0,1,frontier_black_collision,gate_exact_death,0,0,4,4
1,7,1,307906,4692330403214779697,40,56648,0.18397822712126427,pre_onset_lock,0,97,52,52,-4,4,-40,22,0,1,frontier_black_collision,gate_exact_death,0,0,0,8
1,8,1,307906,4692330403214779697,40,70168,0.22788773197014672,pre_onset_lock,0,0,45,45,-5,-2,27,-18,0,1,frontier_black_collision,gate_exact_death,0,0,0,8
1,9,1,307906,4692330403214779697,40,77526,0.2517846355705962,pre_onset_lock,0,24,77,77,-1,2,-28,-11,1,0,missing_black,gate_exact_death,0,2,6,6
1,10,1,307906,4692330403214779697,40,91298,0.296512572018733,pre_onset_lock,0,0,77,77,-5,0,8,41,1,0,missing_black,gate_exact_death,0,2,2,2
1,11,1,307906,4692330403214779697,40,95519,0.3102213013062428,pre_onset_lock,0,0,45,45,-5,-2,46,22,0,1,frontier_black_collision,gate_exact_death,1,3,7,15
1,12,1,307906,4692330403214779697,80,99689,0.3237643956272369,pre_onset_lock,0,103,134,134,7,-3,-32,-19,0,1,frontier_black_collision,gate_exact_death,1,1,1,9
1,13,1,307906,4692330403214779697,40,114532,0.3719706663722045,pre_onset_lock,0,0,76,76,-6,0,-22,36,1,0,missing_black,gate_exact_death,0,0,4,4
1,14,1,307906,4692330403214779697,40,151696,0.49266984079556747,pre_onset_lock,0,30,46,46,5,-3,-3,49,1,0,missing_black,gate_exact_death,0,0,0,0
1,15,1,307906,4692330403214779697,40,159628,0.5184309497054296,pre_onset_lock,0,0,45,45,-5,-2,47,-30,0,1,frontier_black_collision,gate_exact_death,0,0,4,12
1,16,1,307906,4692330403214779697,40,163126,0.5297915597617455,pre_onset_lock,0,0,45,45,-5,-2,68,-39,0,1,frontier_black_collision,gate_exact_death,0,2,6,6
1,17,1,307906,4692330403214779697,80,164567,0.5344715595019259,pre_onset_lock,0,0,160,160,-8,-6,52,-31,0,1,frontier_black_collision,gate_exact_death,1,3,7,7
