idx,pair_index,prev_lock_index,next_lock_index,gap,prev_start,next_start,prev_phase,next_phase,prev_ok,next_ok,prev_bad_kind,next_bad_kind,prev_bad_offset,next_bad_offset,same_phase,same_bad_kind,same_critical_cell,critical_l1,prev_start_mod8,next_start_mod8,prev_start_mod16,next_start_mod16
1,17,17,18,18766,164567,183333,0,0,0,0,frontier_black_collision,frontier_black_collision,160,45,1,1,0,135,7,5,7,5
1,18,18,19,4203,183333,187536,0,102,0,0,frontier_black_collision,missing_black,45,79,0,0,0,87,5,0,5,0
1,19,19,20,34470,187536,222006,102,31,0,0,missing_black,missing_black,79,46,0,1,0,119,0,6,0,6
1,20,20,21,7695,222006,229701,31,0,0,0,missing_black,missing_black,46,76,0,1,0,109,6,5,6,5
1,21,21,22,42945,229701,272646,0,0,0,0,missing_black,frontier_black_collision,76,45,1,0,0,92,5,6,5,6
1,22,22,23,6281,272646,278927,0,30,0,0,frontier_black_collision,missing_black,45,71,0,0,0,159,6,7,6,15
1,23,23,24,8954,278927,287881,30,30,0,0,missing_black,frontier_black_collision,71,87,1,0,0,178,7,1,15,9
1,24,24,25,5931,287881,293812,30,103,0,0,frontier_black_collision,frontier_black_collision,87,298,0,1,0,90,1,4,9,4
1,25,25,26,1426,293812,295238,103,25,0,0,frontier_black_collision,missing_black,298,76,0,0,0,26,4,6,4,6
1,26,26,27,12439,295238,307677,25,103,0,0,missing_black,missing_black,76,45,0,1,0,172,6,5,6,13
1,27,27,28,229,307677,307906,103,0,0,1,missing_black,,45,,0,,,,5,2,13,2
2,0,0,1,9410,776,10186,24,30,0,0,missing_black,missing_black,52,47,0,1,0,37,0,2,8,10
2,1,1,2,4452,10186,14638,30,0,0,0,missing_black,frontier_black_collision,47,45,0,0,0,42,2,6,10,14
2,2,2,3,17105,14638,31743,0,103,0,0,frontier_black_collision,missing_black,45,45,0,0,0,35,6,7,14,15
2,3,3,4,18442,31743,50185,103,0,0,0,missing_black,frontier_black_collision,45,43,0,0,0,38,7,1,15,9
2,4,4,5,3761,50185,53946,0,103,0,0,frontier_black_collision,frontier_black_collision,43,46,0,1,0,46,1,2,9,10
2,5,5,6,9028,53946,62974,103,103,0,0,frontier_black_collision,frontier_black_collision,46,46,1,1,0,20,2,6,10,14
2,6,6,7,4317,62974,67291,103,101,0,0,frontier_black_collision,frontier_black_collision,46,74,0,1,0,31,6,3,14,11
2,7,7,8,1376,67291,68667,101,103,0,0,frontier_black_collision,frontier_black_collision,74,44,0,1,0,26,3,3,11,11
2,8,8,9,3245,68667,71912,103,24,0,0,frontier_black_collision,frontier_black_collision,44,95,0,1,0,58,3,0,11,8
2,9,9,10,25799,71912,97711,24,25,0,0,frontier_black_collision,missing_black,95,73,0,0,0,39,0,7,8,15
2,10,10,11,3402,97711,101113,25,103,0,0,missing_black,frontier_black_collision,73,44,0,0,0,97,7,1,15,9
2,11,11,12,10120,101113,111233,103,31,0,0,frontier_black_collision,frontier_black_collision,44,40,0,1,0,40,1,1,9,1
2,12,12,13,69,111233,111302,31,24,0,0,frontier_black_collision,frontier_black_collision,40,46,0,1,0,5,1,6,1,6
2,13,13,14,969,111302,112271,24,0,0,0,frontier_black_collision,frontier_black_collision,46,55,0,1,0,42,6,7,6,15
2,14,14,15,8160,112271,120431,0,30,0,0,frontier_black_collision,missing_black,55,47,0,0,0,90,7,7,15,15
2,15,15,16,1387,120431,121818,30,102,0,0,missing_black,missing_black,47,100,0,1,0,116,7,2,15,10
2,16,16,17,341,121818,122159,102,31,0,0,missing_black,missing_black,100,70,0,1,0,5,2,7,10,15
2,17,17,18,18134,122159,140293,31,0,0,0,missing_black,missing_black,70,77,0,1,0,127,7,5,15,5
2,18,18,19,22049,140293,162342,0,0,0,0,missing_black,frontier_black_collision,77,150,1,0,0,46,5,6,5,6
2,19,19,20,7780,162342,170122,0,0,0,0,frontier_black_collision,missing_black,150,77,1,0,0,89,6,2,6,10
2,20,20,21,1361,170122,171483,0,31,0,0,missing_black,missing_black,77,67,0,1,0,41,2,3,10,11
2,21,21,22,6897,171483,178380,31,24,0,0,missing_black,frontier_black_collision,67,46,0,0,0,58,3,4,11,12
2,22,22,23,6977,178380,185357,24,102,0,0,frontier_black_collision,frontier_black_collision,46,58,0,1,0,23,4,5,12,13
2,23,23,24,10871,185357,196228,102,25,0,0,frontier_black_collision,missing_black,58,73,0,0,0,74,5,4,13,4
2,24,24,25,29080,196228,225308,25,0,0,0,missing_black,frontier_black_collision,73,45,0,0,0,100,4,4,4,12
2,25,25,26,62053,225308,287361,0,103,0,0,frontier_black_collision,missing_black,45,45,0,0,0,203,4,1,12,1
2,26,26,27,13222,287361,300583,103,0,0,0,missing_black,frontier_black_collision,45,45,0,0,0,64,1,7,1,7
2,27,27,28,1315,300583,301898,0,24,0,0,frontier_black_collision,missing_black,45,75,0,0,0,67,7,2,7,10
2,28,28,29,194,301898,302092,24,98,0,1,missing_black,,75,,0,,,,2,4,10,12
3,0,0,1,895,2649,3544,102,25,0,0,missing_black,frontier_black_collision,100,45,0,0,0,32,1,0,9,8
3,1,1,2,418,3544,3962,25,31,0,0,frontier_black_collision,missing_black,45,67,0,0,0,8,0,2,8,10
3,2,2,3,5585,3962,9547,31,0,0,0,missing_black,frontier_black_collision,67,43,0,0,0,15,2,3,10,11
3,3,3,4,7245,9547,16792,0,0,0,0,frontier_black_collision,missing_black,43,76,1,0,0,30,3,0,11,8
3,4,4,5,140,16792,16932,0,0,0,0,missing_black,missing_black,76,77,1,1,0,3,0,4,8,4
3,5,5,6,10924,16932,27856,0,100,0,0,missing_black,missing_black,77,54,0,1,0,5,4,0,4,0
3,6,6,7,11649,27856,39505,100,30,0,0,missing_black,missing_black,54,47,0,1,0,28,0,1,0,1
3,7,7,8,9066,39505,48571,30,0,0,0,missing_black,missing_black,47,77,0,1,0,68,1,3,1,11
3,8,8,9,2835,48571,51406,0,0,0,0,missing_black,frontier_black_collision,77,45,1,0,0,55,3,6,11,14
3,9,9,10,12730,51406,64136,0,30,0,0,frontier_black_collision,missing_black,45,69,0,0,0,52,6,0,14,8
3,10,10,11,2008,64136,66144,30,0,0,0,missing_black,frontier_black_collision,69,70,0,0,0,23,0,0,8,0
3,11,11,12,675,66144,66819,0,103,0,0,frontier_black_collision,frontier_black_collision,70,46,0,1,0,3,0,3,0,3
3,12,12,13,18925,66819,85744,103,0,0,0,frontier_black_collision,missing_black,46,44,0,0,0,105,3,0,3,0
3,13,13,14,646,85744,86390,0,30,0,0,missing_black,missing_black,44,71,0,1,0,13,0,6,0,6
3,14,14,15,9390,86390,95780,30,103,0,0,missing_black,frontier_black_collision,71,62,0,0,0,129,6,4,6,4
3,15,15,16,4016,95780,99796,103,30,0,0,frontier_black_collision,missing_black,62,68,0,0,0,140,4,4,4,4
3,16,16,17,77,99796,99873,30,0,0,0,missing_black,frontier_black_collision,68,71,0,0,0,10,4,1,4,1
3,17,17,18,4030,99873,103903,0,98,0,0,frontier_black_collision,frontier_black_collision,71,51,0,1,0,4,1,7,1,15
3,18,18,19,8387,103903,112290,98,0,0,0,frontier_black_collision,missing_black,51,99,0,0,0,55,7,2,15,2
3,19,19,20,132,112290,112422,0,0,0,0,missing_black,missing_black,99,99,1,1,0,4,2,6,2,6
3,20,20,21,103,112422,112525,0,99,0,0,missing_black,frontier_black_collision,99,268,0,0,0,20,6,5,6,13
3,21,21,22,5600,112525,118125,99,31,0,0,frontier_black_collision,missing_black,268,46,0,0,0,106,5,5,13,13
3,22,22,23,15019,118125,133144,31,30,0,0,missing_black,missing_black,46,71,0,1,0,48,5,0,13,8
3,23,23,24,73,133144,133217,30,100,0,0,missing_black,frontier_black_collision,71,49,0,0,0,11,0,1,8,1
3,24,24,25,3252,133217,136469,100,24,0,0,frontier_black_collision,missing_black,49,77,0,0,1,0,1,5,1,5
3,25,25,26,13907,136469,150376,24,103,0,0,missing_black,frontier_black_collision,77,72,0,0,0,12,5,0,5,8
3,26,26,27,4795,150376,155171,103,21,0,0,frontier_black_collision,frontier_black_collision,72,40,0,1,0,83,0,3,8,3
3,27,27,28,44382,155171,199553,21,0,0,0,frontier_black_collision,missing_black,40,50,0,0,0,40,3,1,3,1
3,28,28,29,2632,199553,202185,0,31,0,0,missing_black,missing_black,50,46,0,1,0,24,1,1,1,9
