idx,shard,onset,rngstate,eligible_deep_events,selected_event_index,event_t,post_t,time_frac,post_is_onset,horizon,convention,event_cell_x,event_cell_y,pre_x,pre_y,pre_heading,post_x,post_y,post_heading,pre_observed_turn_bit,post_observed_turn_bit,pre_best_phase,post_best_phase,best_phase_changed,pre_h_best,post_h_best,delta_h_best,h_relation,pre_phi_compat,post_phi_compat,delta_phi_compat,phi_relation,pre_compatible_clear_phase_count,post_compatible_clear_phase_count,pre_best_bad_kind,post_best_bad_kind,pre_best_first_bad_offset,post_best_first_bad_offset,pre_best_first_bad_l1,post_best_first_bad_l1,pre_best_first_bad_linf,post_best_first_bad_linf,pre_compatible_median_h,post_compatible_median_h,pre_missing_black_count,post_missing_black_count,pre_frontier_black_collision_count,post_frontier_black_collision_count
3,3,291397,12567324566037349410,67222,4,52796,52797,0.18118237318846797,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,8,-8,8,-8,0,7,-8,3,0,1,31,16,1,12,3,-9,decline,0.8910233766955563,0.9715659246500883,0.08054254795453197,decline,0,0,frontier_black_collision,frontier_black_collision,12,3,4,1,2,1,2,2,3,0,8,11
13,13,267828,2592558225885312534,61549,6,70219,70220,0.2621794584584136,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,8,-41,8,-41,3,8,-40,2,0,1,31,16,1,12,3,-9,decline,0.8910233766955563,0.9715659246500883,0.08054254795453197,decline,0,0,frontier_black_collision,frontier_black_collision,12,3,4,1,2,1,2,2,3,0,8,11
13,13,267828,2592558225885312534,61549,10,116090,116091,0.4334498260077363,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,35,-11,35,-11,0,34,-11,3,0,1,31,16,1,12,3,-9,decline,0.8910233766955563,0.9715659246500883,0.08054254795453197,decline,0,0,frontier_black_collision,frontier_black_collision,12,3,4,1,2,1,2,2,3,0,8,11
5,5,285796,16489936061346709332,66389,10,123713,123714,0.43287169869417347,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,1,42,1,42,3,1,43,2,0,1,31,16,1,12,3,-9,decline,0.8910233766955563,0.9715659246500883,0.08054254795453197,decline,0,0,frontier_black_collision,frontier_black_collision,12,3,4,1,2,1,2,2,3,0,8,11
0,0,313358,4700473787566636120,74337,18,238463,238464,0.7609922197614231,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,12,-79,12,-79,3,12,-78,2,0,1,31,16,1,12,3,-9,decline,0.8910233766955563,0.9715659246500883,0.08054254795453197,decline,0,0,frontier_black_collision,frontier_black_collision,12,3,4,1,2,1,2,2,3,0,8,11
8,8,271114,3955567068357606463,64208,21,240071,240072,0.8854983512470769,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,8,31,8,31,3,8,32,2,0,1,31,16,1,12,3,-9,decline,0.8910233766955563,0.9715659246500883,0.08054254795453197,decline,0,0,frontier_black_collision,frontier_black_collision,12,3,4,1,2,1,2,2,3,0,8,11
13,13,267828,2592558225885312534,61549,2,25612,25613,0.09562853771823708,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,0,-32,0,-32,0,-1,-32,3,0,1,83,90,1,14,6,-8,decline,0.8740520209016968,0.9439403459411809,0.06988832503948417,decline,0,0,frontier_black_collision,missing_black,14,6,2,4,1,3,2,1,8,9,3,2
12,12,267843,18287853548615453633,63072,7,82940,82941,0.3096590166627465,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-30,-26,-30,-26,0,-31,-26,3,0,1,83,90,1,14,6,-8,decline,0.8740520209016968,0.9439403459411809,0.06988832503948417,decline,0,0,frontier_black_collision,missing_black,14,6,2,4,1,3,2,1,8,9,3,2
19,19,255436,9980582288230158201,59447,9,99779,99780,0.39062230852346574,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-30,17,-30,17,3,-30,18,2,0,1,83,90,1,14,6,-8,decline,0.8740520209016968,0.9439403459411809,0.06988832503948417,decline,0,0,frontier_black_collision,missing_black,14,6,2,4,1,3,2,1,8,9,3,2
8,8,271114,3955567068357606463,64208,12,139633,139634,0.5150342660283128,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,45,-38,45,-38,1,45,-39,0,0,1,83,90,1,14,6,-8,decline,0.8740520209016968,0.9439403459411809,0.06988832503948417,decline,0,0,frontier_black_collision,missing_black,14,6,2,4,1,3,2,1,8,9,3,2
