anchor_family,horizon,phi,orbit,from_anchor,to_anchor,t0,t1,gap_steps,deep_black_count,fresh_bite_count,next_status,phi_prev,phi_next,delta_phi,h_prev,h_next,bad_kind_prev,bad_kind_next
gate,1600,phi_best22_depth,9,11,12,52307,92713,40406,9497,1935,defect,0.6242815277111298,0.648760079583615,0.024478551872485266,49,45,frontier_black_collision,frontier_black_collision
gate,1600,phi_best22_depth,6,19,20,114552,152959,38407,9152,1786,defect,0.5562494348298314,0.648760079583615,0.09251064475378368,61,45,frontier_black_collision,missing_black
gate,1600,phi_best22_depth,21,20,21,83751,120900,37149,8741,2011,defect,0.4769304454538778,0.6425518967598274,0.16562145130594957,77,46,missing_black,frontier_black_collision
gate,1600,phi_best22_depth,1,13,14,114532,151696,37164,8711,1760,defect,0.4815384334071293,0.6425518967598274,0.16101346335269806,76,46,missing_black,missing_black
grid,1600,phi_best22_depth,12,210,211,218400,220480,2080,423,179,defect,0.9530604719137336,0.9809529623602027,0.02789249044646913,5,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_depth,20,50,51,52000,53040,1040,327,2,defect,0.9171002750188676,0.925961078642316,0.008860803623448432,9,8,missing_black,frontier_black_collision
grid,1600,phi_best22_depth,11,233,234,242320,243360,1040,326,0,defect,0.9622687143632572,0.9809529623602027,0.018684247996945458,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_depth,5,113,114,117520,118560,1040,323,2,defect,0.9349074932321897,0.9809529623602027,0.046045469128012995,7,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_depth,12,98,99,101920,102960,1040,320,0,defect,0.8910233766955563,0.9809529623602027,0.08992958566464637,12,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_depth,15,188,189,195520,196560,1040,315,3,defect,0.9171002750188676,0.9809529623602027,0.06385268734133509,9,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_depth,8,209,210,217360,218400,1040,315,1,defect,0.9171002750188676,0.9809529623602027,0.06385268734133509,9,2,missing_black,frontier_black_collision
grid,1600,phi_best22_depth,18,126,127,131040,132080,1040,315,1,defect,0.925961078642316,0.9349074932321897,0.008946414589873664,8,7,missing_black,frontier_black_collision
grid,1600,phi_best22_depth,4,164,165,170560,171600,1040,313,0,defect,0.9622687143632572,0.9809529623602027,0.018684247996945458,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_depth,5,206,207,214240,215280,1040,312,0,defect,0.9809529623602027,0.9809529623602027,0.0,2,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_mass_104,12,210,211,218400,220480,2080,423,179,defect,14.273136337496688,15.4810667374552,1.2079303999585118,5,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_mass_104,20,50,51,52000,53040,1040,327,2,defect,3.835053544851372,14.420294935975773,10.585241391124402,9,8,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_104,14,199,200,206960,208000,1040,319,12,defect,14.261730959023875,15.425292590886901,1.1635616318630255,2,5,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_104,12,23,24,23920,24960,1040,317,11,defect,8.524295883882786,15.6264728157654,7.102176931882614,2,5,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_104,8,209,210,217360,218400,1040,315,1,defect,14.618268883577144,17.196607418143312,2.578338534566168,9,2,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_104,15,188,189,195520,196560,1040,315,3,defect,15.011193390427767,15.320688223977035,0.30949483354926777,9,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_mass_104,9,101,102,105040,106080,1040,313,11,defect,7.0423460761262575,14.215348352243522,7.1730022761172645,5,6,missing_black,missing_black
grid,1600,phi_best22_mass_104,5,206,207,214240,215280,1040,312,0,defect,15.985452870091244,16.62722592180206,0.6417730517108176,2,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_mass_104,7,142,143,147680,148720,1040,311,26,defect,13.659569421994142,15.984100315779893,2.3245308937857505,8,3,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_104,9,71,72,73840,74880,1040,311,1,defect,15.850993044494357,17.696356597535434,1.8453635530410768,5,2,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_208,12,210,211,218400,220480,2080,423,179,defect,17.40910286286552,26.20943629991673,8.800333437051211,5,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_mass_208,20,50,51,52000,53040,1040,327,2,defect,4.372448090320324,24.80701231879632,20.434564228476,9,8,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_208,11,233,234,242320,243360,1040,326,0,defect,25.28962902422437,25.429570918675992,0.13994189445162064,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_mass_208,14,199,200,206960,208000,1040,319,12,defect,25.97750494139042,27.202167868590497,1.2246629272000753,2,5,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_208,12,23,24,23920,24960,1040,317,11,defect,9.980093485616903,27.615491781587608,17.635398295970703,2,5,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_208,18,126,127,131040,132080,1040,315,1,defect,19.364192774969034,24.376234143967984,5.0120413689989505,8,7,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_208,8,209,210,217360,218400,1040,315,1,defect,23.005505533700536,27.603835075697273,4.598329541996737,9,2,missing_black,frontier_black_collision
grid,1600,phi_best22_mass_208,9,101,102,105040,106080,1040,313,11,defect,7.94959143849411,25.186139899134986,17.236548460640876,5,6,missing_black,missing_black
grid,1600,phi_best22_mass_208,22,35,36,36400,37440,1040,311,1,defect,23.138596057845955,28.36299331637854,5.2243972585325835,6,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best22_mass_208,19,228,229,237120,238160,1040,311,0,defect,25.844945388107295,28.49880776890615,2.6538623807988557,6,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best_deficit,12,210,211,218400,220480,2080,423,179,defect,1596.0,1599.0,3.0,5,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best_deficit,20,50,51,52000,53040,1040,327,2,defect,1592.0,1593.0,1.0,9,8,missing_black,frontier_black_collision
