[shard 8] 0/70000000 seeds, 1 converged
[shard 8] 2000/70000000 seeds, 2001 converged
[shard 8] 4000/70000000 seeds, 4001 converged
[shard 8] 6000/70000000 seeds, 6001 converged
[shard 8] 8000/70000000 seeds, 8001 converged
[shard 8] 10000/70000000 seeds, 10001 converged
[shard 8] 12000/70000000 seeds, 12001 converged
[shard 8] 14000/70000000 seeds, 14001 converged
[shard 8] 16000/70000000 seeds, 16001 converged
[shard 8] 18000/70000000 seeds, 18001 converged
[shard 8] 20000/70000000 seeds, 20001 converged
[shard 8] 22000/70000000 seeds, 22001 converged
[shard 8] 24000/70000000 seeds, 24001 converged
[shard 8] 26000/70000000 seeds, 26001 converged
[shard 8] 28000/70000000 seeds, 28001 converged
[shard 8] 30000/70000000 seeds, 30001 converged
[shard 8] 32000/70000000 seeds, 32001 converged
[shard 8] 34000/70000000 seeds, 34001 converged
[shard 8] 36000/70000000 seeds, 36001 converged
[shard 8] 38000/70000000 seeds, 38001 converged
[shard 8] 40000/70000000 seeds, 40001 converged
[shard 8] 42000/70000000 seeds, 42001 converged
[shard 8] 44000/70000000 seeds, 44001 converged
[shard 8] 46000/70000000 seeds, 46001 converged
[shard 8] 48000/70000000 seeds, 48001 converged
[shard 8] 50000/70000000 seeds, 50001 converged
[shard 8] 52000/70000000 seeds, 52001 converged
[shard 8] 54000/70000000 seeds, 54001 converged
[shard 8] 56000/70000000 seeds, 56001 converged
[shard 8] 58000/70000000 seeds, 58001 converged
[shard 8] 60000/70000000 seeds, 60001 converged
[shard 8] 62000/70000000 seeds, 62001 converged
[shard 8] 64000/70000000 seeds, 64001 converged
[shard 8] 66000/70000000 seeds, 66001 converged
[shard 8] 68000/70000000 seeds, 68001 converged
[shard 8] 70000/70000000 seeds, 70001 converged
[shard 8] 72000/70000000 seeds, 72001 converged
[shard 8] 74000/70000000 seeds, 74001 converged
[shard 8] 76000/70000000 seeds, 76001 converged
[shard 8] 78000/70000000 seeds, 78001 converged
[shard 8] 80000/70000000 seeds, 80001 converged
[shard 8] 82000/70000000 seeds, 82001 converged
[shard 8] 84000/70000000 seeds, 84001 converged
[shard 8] 86000/70000000 seeds, 86001 converged
[shard 8] 88000/70000000 seeds, 88001 converged
[shard 8] 90000/70000000 seeds, 90001 converged
[shard 8] 92000/70000000 seeds, 92001 converged
[shard 8] 94000/70000000 seeds, 94001 converged
[shard 8] 96000/70000000 seeds, 96001 converged
[shard 8] 98000/70000000 seeds, 98001 converged
[shard 8] 100000/70000000 seeds, 100001 converged
[shard 8] 102000/70000000 seeds, 102001 converged
[shard 8] 104000/70000000 seeds, 104001 converged
[shard 8] 106000/70000000 seeds, 106001 converged
[shard 8] 108000/70000000 seeds, 108001 converged
[shard 8] 110000/70000000 seeds, 110001 converged
[shard 8] 112000/70000000 seeds, 112001 converged
[shard 8] 114000/70000000 seeds, 114001 converged
[shard 8] 116000/70000000 seeds, 116001 converged
[shard 8] 118000/70000000 seeds, 118001 converged
[shard 8] 120000/70000000 seeds, 120001 converged
[shard 8] 122000/70000000 seeds, 122001 converged
[shard 8] 124000/70000000 seeds, 124001 converged
[shard 8] 126000/70000000 seeds, 126001 converged
[shard 8] 128000/70000000 seeds, 128001 converged
[shard 8] 130000/70000000 seeds, 130001 converged
[shard 8] 132000/70000000 seeds, 132001 converged
[shard 8] 134000/70000000 seeds, 134001 converged
[shard 8] 136000/70000000 seeds, 136001 converged
[shard 8] 138000/70000000 seeds, 138001 converged
[shard 8] 140000/70000000 seeds, 140001 converged
[shard 8] 142000/70000000 seeds, 142001 converged
[shard 8] 144000/70000000 seeds, 144001 converged
[shard 8] 146000/70000000 seeds, 146001 converged
[shard 8] 148000/70000000 seeds, 148001 converged
[shard 8] 150000/70000000 seeds, 150001 converged
[shard 8] 152000/70000000 seeds, 152001 converged
[shard 8] 154000/70000000 seeds, 154001 converged
[shard 8] 156000/70000000 seeds, 156001 converged
[shard 8] 158000/70000000 seeds, 158001 converged
[shard 8] 160000/70000000 seeds, 160001 converged
[shard 8] 162000/70000000 seeds, 162001 converged
[shard 8] 164000/70000000 seeds, 164001 converged
[shard 8] 166000/70000000 seeds, 166001 converged
[shard 8] 168000/70000000 seeds, 168001 converged
[shard 8] 170000/70000000 seeds, 170001 converged
[shard 8] 172000/70000000 seeds, 172001 converged
[shard 8] 174000/70000000 seeds, 174001 converged
[shard 8] 176000/70000000 seeds, 176001 converged
[shard 8] 178000/70000000 seeds, 178001 converged
[shard 8] 180000/70000000 seeds, 180001 converged
[shard 8] 182000/70000000 seeds, 182001 converged
[shard 8] 184000/70000000 seeds, 184001 converged
[shard 8] 186000/70000000 seeds, 186001 converged
[shard 8] 188000/70000000 seeds, 188001 converged
[shard 8] 190000/70000000 seeds, 190001 converged
[shard 8] 192000/70000000 seeds, 192001 converged
[shard 8] 194000/70000000 seeds, 194001 converged
[shard 8] 196000/70000000 seeds, 196001 converged
[shard 8] 198000/70000000 seeds, 198001 converged
[shard 8] 200000/70000000 seeds, 200001 converged
[shard 8] 202000/70000000 seeds, 202001 converged
[shard 8] 204000/70000000 seeds, 204001 converged
[shard 8] 206000/70000000 seeds, 206001 converged
[shard 8] 208000/70000000 seeds, 208001 converged
[shard 8] 210000/70000000 seeds, 210001 converged
[shard 8] 212000/70000000 seeds, 212001 converged
[shard 8] 214000/70000000 seeds, 214001 converged
[shard 8] 216000/70000000 seeds, 216001 converged
[shard 8] 218000/70000000 seeds, 218001 converged
[shard 8] 220000/70000000 seeds, 220001 converged
[shard 8] 222000/70000000 seeds, 222001 converged
[shard 8] 224000/70000000 seeds, 224001 converged
[shard 8] 226000/70000000 seeds, 226001 converged
[shard 8] 228000/70000000 seeds, 228001 converged
[shard 8] 230000/70000000 seeds, 230001 converged
[shard 8] 232000/70000000 seeds, 232001 converged
[shard 8] 234000/70000000 seeds, 234001 converged
[shard 8] 236000/70000000 seeds, 236001 converged
[shard 8] 238000/70000000 seeds, 238001 converged
[shard 8] 240000/70000000 seeds, 240001 converged
[shard 8] 242000/70000000 seeds, 242001 converged
[shard 8] 244000/70000000 seeds, 244001 converged
[shard 8] 246000/70000000 seeds, 246001 converged
[shard 8] 248000/70000000 seeds, 248001 converged
[shard 8] 250000/70000000 seeds, 250001 converged
[shard 8] 252000/70000000 seeds, 252001 converged
[shard 8] 254000/70000000 seeds, 254001 converged
[shard 8] 256000/70000000 seeds, 256001 converged
[shard 8] 258000/70000000 seeds, 258001 converged
[shard 8] 260000/70000000 seeds, 260001 converged
[shard 8] 262000/70000000 seeds, 262001 converged
[shard 8] 264000/70000000 seeds, 264001 converged
[shard 8] 266000/70000000 seeds, 266001 converged
[shard 8] 268000/70000000 seeds, 268001 converged
[shard 8] 270000/70000000 seeds, 270001 converged
[shard 8] 272000/70000000 seeds, 272001 converged
[shard 8] 274000/70000000 seeds, 274001 converged
