idx,shard,onset,rngstate,threshold,start,kind,phase,is_gate,depth,death_step,first_bad_offset,bad_rel_x,bad_rel_y,bad_abs_x,bad_abs_y,required_black,actual_black,bad_kind,exogenous_reads_checked,verdict
0,0,313358,4700473787566636120,40,50608,pre_onset_lock,40,0,41,50649,41,1,-2,-21,-22,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,51165,pre_onset_lock,41,0,40,51205,40,-2,0,-11,-30,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,53216,pre_onset_lock,40,0,41,53257,41,1,-2,47,-16,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,53843,pre_onset_lock,40,0,41,53884,41,1,-2,44,-28,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,55015,pre_onset_lock,40,0,41,55056,41,1,-2,46,-30,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,55840,pre_onset_lock,36,0,41,55881,41,-3,2,13,-38,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,59442,pre_onset_lock,24,1,48,59490,48,-8,0,-9,21,0,1,frontier_black_collision,26,gate_exact_death
0,0,313358,4700473787566636120,40,61261,pre_onset_lock,41,0,40,61301,40,-2,0,-27,18,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,65530,pre_onset_lock,36,0,40,65570,40,-4,2,49,-43,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,66057,pre_onset_lock,41,0,40,66097,40,-2,0,31,-44,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,68360,pre_onset_lock,40,0,41,68401,41,1,-2,-23,-24,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,69003,pre_onset_lock,41,0,40,69043,40,-2,0,28,-49,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,69170,pre_onset_lock,40,0,41,69211,41,1,-2,26,-51,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,72128,pre_onset_lock,41,0,40,72168,40,-2,0,36,-58,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,72708,pre_onset_lock,41,0,40,72748,40,-2,0,20,-64,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,81989,pre_onset_lock,23,0,78,82067,78,1,1,36,11,1,0,missing_black,37,mute_early_death
0,0,313358,4700473787566636120,40,82162,pre_onset_lock,40,0,41,82203,41,1,-2,40,13,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,83056,pre_onset_lock,36,0,41,83097,41,-3,2,37,22,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,84457,pre_onset_lock,63,0,43,84500,43,0,-3,-2,-40,1,0,missing_black,26,mute_early_death
0,0,313358,4700473787566636120,40,106325,pre_onset_lock,40,0,41,106366,41,1,-2,-13,-59,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,106954,pre_onset_lock,40,0,41,106995,41,1,-2,-30,-59,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,107454,pre_onset_lock,41,0,40,107494,40,-2,0,-29,-45,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,115204,pre_onset_lock,0,1,43,115247,43,-4,-1,-26,27,0,1,frontier_black_collision,19,gate_exact_death
0,0,313358,4700473787566636120,40,115565,pre_onset_lock,23,0,54,115619,54,1,5,-16,33,1,0,missing_black,30,mute_early_death
0,0,313358,4700473787566636120,40,128268,pre_onset_lock,40,0,41,128309,41,1,-2,-33,-54,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,128394,pre_onset_lock,41,0,40,128434,40,-2,0,-35,-51,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,133072,pre_onset_lock,40,0,41,133113,41,1,-2,13,40,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,138788,pre_onset_lock,40,0,41,138829,41,1,-2,15,42,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,145518,pre_onset_lock,40,0,41,145559,41,1,-2,-16,35,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,146641,pre_onset_lock,103,1,46,146687,46,3,-5,10,47,0,1,frontier_black_collision,22,gate_exact_death
0,0,313358,4700473787566636120,40,146720,pre_onset_lock,40,0,41,146761,41,1,-2,17,44,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,151427,pre_onset_lock,23,0,75,151502,75,2,3,-11,37,1,0,missing_black,34,mute_early_death
0,0,313358,4700473787566636120,40,151536,pre_onset_lock,0,1,99,151635,99,-2,1,-10,39,1,0,missing_black,40,gate_exact_death
0,0,313358,4700473787566636120,80,151536,pre_onset_lock,0,1,99,151635,99,-2,1,-10,39,1,0,missing_black,40,gate_exact_death
0,0,313358,4700473787566636120,40,151684,pre_onset_lock,100,1,169,151853,169,-9,-6,-1,46,0,1,frontier_black_collision,60,gate_exact_death
0,0,313358,4700473787566636120,80,151684,pre_onset_lock,100,1,169,151853,169,-9,-6,-1,46,0,1,frontier_black_collision,60,gate_exact_death
0,0,313358,4700473787566636120,40,153606,pre_onset_lock,41,0,40,153646,40,-2,0,-29,31,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,154254,pre_onset_lock,57,0,41,154295,41,5,-2,-6,45,1,0,missing_black,20,mute_early_death
0,0,313358,4700473787566636120,40,163027,pre_onset_lock,0,1,45,163072,45,-5,-2,-20,54,0,1,frontier_black_collision,21,gate_exact_death
0,0,313358,4700473787566636120,40,164882,pre_onset_lock,0,1,76,164958,76,-6,0,-13,57,1,0,missing_black,35,gate_exact_death
0,0,313358,4700473787566636120,40,164993,pre_onset_lock,99,1,82,165075,82,-3,5,-12,59,1,0,missing_black,41,gate_exact_death
0,0,313358,4700473787566636120,80,164993,pre_onset_lock,99,1,82,165075,82,-3,5,-12,59,1,0,missing_black,41,gate_exact_death
