[shard 12] 0/70000000 seeds, 1 converged
[shard 12] 2000/70000000 seeds, 2001 converged
[shard 12] 4000/70000000 seeds, 4001 converged
[shard 12] 6000/70000000 seeds, 6001 converged
[shard 12] 8000/70000000 seeds, 8001 converged
[shard 12] 10000/70000000 seeds, 10001 converged
[shard 12] 12000/70000000 seeds, 12001 converged
[shard 12] 14000/70000000 seeds, 14001 converged
[shard 12] 16000/70000000 seeds, 16001 converged
[shard 12] 18000/70000000 seeds, 18001 converged
[shard 12] 20000/70000000 seeds, 20001 converged
[shard 12] 22000/70000000 seeds, 22001 converged
[shard 12] 24000/70000000 seeds, 24001 converged
[shard 12] 26000/70000000 seeds, 26001 converged
[shard 12] 28000/70000000 seeds, 28001 converged
[shard 12] 30000/70000000 seeds, 30001 converged
[shard 12] 32000/70000000 seeds, 32001 converged
[shard 12] 34000/70000000 seeds, 34001 converged
[shard 12] 36000/70000000 seeds, 36001 converged
[shard 12] 38000/70000000 seeds, 38001 converged
[shard 12] 40000/70000000 seeds, 40001 converged
[shard 12] 42000/70000000 seeds, 42001 converged
[shard 12] 44000/70000000 seeds, 44001 converged
[shard 12] 46000/70000000 seeds, 46001 converged
[shard 12] 48000/70000000 seeds, 48001 converged
[shard 12] 50000/70000000 seeds, 50001 converged
[shard 12] 52000/70000000 seeds, 52001 converged
[shard 12] 54000/70000000 seeds, 54001 converged
[shard 12] 56000/70000000 seeds, 56001 converged
[shard 12] 58000/70000000 seeds, 58001 converged
[shard 12] 60000/70000000 seeds, 60001 converged
[shard 12] 62000/70000000 seeds, 62001 converged
[shard 12] 64000/70000000 seeds, 64001 converged
[shard 12] 66000/70000000 seeds, 66001 converged
[shard 12] 68000/70000000 seeds, 68001 converged
[shard 12] 70000/70000000 seeds, 70001 converged
[shard 12] 72000/70000000 seeds, 72001 converged
[shard 12] 74000/70000000 seeds, 74001 converged
[shard 12] 76000/70000000 seeds, 76001 converged
[shard 12] 78000/70000000 seeds, 78001 converged
[shard 12] 80000/70000000 seeds, 80001 converged
[shard 12] 82000/70000000 seeds, 82001 converged
[shard 12] 84000/70000000 seeds, 84001 converged
[shard 12] 86000/70000000 seeds, 86001 converged
[shard 12] 88000/70000000 seeds, 88001 converged
[shard 12] 90000/70000000 seeds, 90001 converged
[shard 12] 92000/70000000 seeds, 92001 converged
[shard 12] 94000/70000000 seeds, 94001 converged
[shard 12] 96000/70000000 seeds, 96001 converged
[shard 12] 98000/70000000 seeds, 98001 converged
[shard 12] 100000/70000000 seeds, 100001 converged
[shard 12] 102000/70000000 seeds, 102001 converged
[shard 12] 104000/70000000 seeds, 104001 converged
[shard 12] 106000/70000000 seeds, 106001 converged
[shard 12] 108000/70000000 seeds, 108001 converged
[shard 12] 110000/70000000 seeds, 110001 converged
[shard 12] 112000/70000000 seeds, 112001 converged
[shard 12] 114000/70000000 seeds, 114001 converged
[shard 12] 116000/70000000 seeds, 116001 converged
[shard 12] 118000/70000000 seeds, 118001 converged
[shard 12] 120000/70000000 seeds, 120001 converged
[shard 12] 122000/70000000 seeds, 122001 converged
[shard 12] 124000/70000000 seeds, 124001 converged
[shard 12] 126000/70000000 seeds, 126001 converged
[shard 12] 128000/70000000 seeds, 128001 converged
[shard 12] 130000/70000000 seeds, 130001 converged
[shard 12] 132000/70000000 seeds, 132001 converged
[shard 12] 134000/70000000 seeds, 134001 converged
[shard 12] 136000/70000000 seeds, 136001 converged
[shard 12] 138000/70000000 seeds, 138001 converged
[shard 12] 140000/70000000 seeds, 140001 converged
[shard 12] 142000/70000000 seeds, 142001 converged
[shard 12] 144000/70000000 seeds, 144001 converged
[shard 12] 146000/70000000 seeds, 146001 converged
[shard 12] 148000/70000000 seeds, 148001 converged
[shard 12] 150000/70000000 seeds, 150001 converged
[shard 12] 152000/70000000 seeds, 152001 converged
[shard 12] 154000/70000000 seeds, 154001 converged
[shard 12] 156000/70000000 seeds, 156001 converged
[shard 12] 158000/70000000 seeds, 158001 converged
[shard 12] 160000/70000000 seeds, 160001 converged
[shard 12] 162000/70000000 seeds, 162001 converged
[shard 12] 164000/70000000 seeds, 164001 converged
[shard 12] 166000/70000000 seeds, 166001 converged
[shard 12] 168000/70000000 seeds, 168001 converged
[shard 12] 170000/70000000 seeds, 170001 converged
[shard 12] 172000/70000000 seeds, 172001 converged
[shard 12] 174000/70000000 seeds, 174001 converged
[shard 12] 176000/70000000 seeds, 176001 converged
[shard 12] 178000/70000000 seeds, 178001 converged
[shard 12] 180000/70000000 seeds, 180001 converged
[shard 12] 182000/70000000 seeds, 182001 converged
[shard 12] 184000/70000000 seeds, 184001 converged
[shard 12] 186000/70000000 seeds, 186001 converged
[shard 12] 188000/70000000 seeds, 188001 converged
[shard 12] 190000/70000000 seeds, 190001 converged
[shard 12] 192000/70000000 seeds, 192001 converged
[shard 12] 194000/70000000 seeds, 194001 converged
[shard 12] 196000/70000000 seeds, 196001 converged
[shard 12] 198000/70000000 seeds, 198001 converged
[shard 12] 200000/70000000 seeds, 200001 converged
[shard 12] 202000/70000000 seeds, 202001 converged
[shard 12] 204000/70000000 seeds, 204001 converged
[shard 12] 206000/70000000 seeds, 206001 converged
[shard 12] 208000/70000000 seeds, 208001 converged
[shard 12] 210000/70000000 seeds, 210001 converged
[shard 12] 212000/70000000 seeds, 212001 converged
[shard 12] 214000/70000000 seeds, 214001 converged
[shard 12] 216000/70000000 seeds, 216001 converged
[shard 12] 218000/70000000 seeds, 218001 converged
[shard 12] 220000/70000000 seeds, 220001 converged
[shard 12] 222000/70000000 seeds, 222001 converged
[shard 12] 224000/70000000 seeds, 224001 converged
[shard 12] 226000/70000000 seeds, 226001 converged
[shard 12] 228000/70000000 seeds, 228001 converged
[shard 12] 230000/70000000 seeds, 230001 converged
[shard 12] 232000/70000000 seeds, 232001 converged
[shard 12] 234000/70000000 seeds, 234001 converged
[shard 12] 236000/70000000 seeds, 236001 converged
[shard 12] 238000/70000000 seeds, 238001 converged
[shard 12] 240000/70000000 seeds, 240001 converged
[shard 12] 242000/70000000 seeds, 242001 converged
[shard 12] 244000/70000000 seeds, 244001 converged
[shard 12] 246000/70000000 seeds, 246001 converged
[shard 12] 248000/70000000 seeds, 248001 converged
[shard 12] 250000/70000000 seeds, 250001 converged
[shard 12] 252000/70000000 seeds, 252001 converged
[shard 12] 254000/70000000 seeds, 254001 converged
[shard 12] 256000/70000000 seeds, 256001 converged
[shard 12] 258000/70000000 seeds, 258001 converged
[shard 12] 260000/70000000 seeds, 260001 converged
[shard 12] 262000/70000000 seeds, 262001 converged
[shard 12] 264000/70000000 seeds, 264001 converged
[shard 12] 266000/70000000 seeds, 266001 converged
[shard 12] 268000/70000000 seeds, 268001 converged
[shard 12] 270000/70000000 seeds, 270001 converged
[shard 12] 272000/70000000 seeds, 272001 converged
[shard 12] 274000/70000000 seeds, 274001 converged
[shard 12] 276000/70000000 seeds, 276001 converged
[shard 12] 278000/70000000 seeds, 278001 converged
[shard 12] 280000/70000000 seeds, 280001 converged
[shard 12] 282000/70000000 seeds, 282001 converged
[shard 12] 284000/70000000 seeds, 284001 converged
[shard 12] 286000/70000000 seeds, 286001 converged
[shard 12] 288000/70000000 seeds, 288001 converged
[shard 12] 290000/70000000 seeds, 290001 converged
